
Perirhinal Layer, 24-D input stimuli
Experiment:, list1, 
Stim Condition:, 1, 
 Stimulus Set 1:
Sample 1, [ 0.667 0.333, 0.050 0.667, 0.333 0.950, 0.333 0.667 ],Novel 1, [ 0.000 0.000, 0.000 0.000, 0.000 0.000, 0.000 0.000 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 1, 1, Sample, 79.180717, 86567.408232, 0.000915, 0.578542, [62 65]
 1, 1, Novel, 12.010495, 49181.030306, 0.000244,, [3 12]
 2, 1, Sample, 78.691359, 86739.596364, 0.000907, 0.584763, [43 96]
 2, 1, Novel, 11.676675, 49122.215359, 0.000238,, [159 167]
 3, 1, Sample, 78.342578, 86625.915412, 0.000904, 0.610129, [87 20]
 3, 1, Novel, 10.768525, 49175.191839, 0.000219,, [166 99]
 4, 1, Sample, 79.481321, 86702.504286, 0.000917, 0.585670, [87 76]
 4, 1, Novel, 11.768667, 49131.489532, 0.000240,, [152 137]
 5, 1, Sample, 78.235798, 86773.147296, 0.000902, 0.582008, [168 31]
 5, 1, Novel, 11.707945, 49147.492206, 0.000238,, [182 33]
 6, 1, Sample, 79.562580, 86768.894726, 0.000917, 0.570841, [37 128]
 6, 1, Novel, 12.336878, 49246.449889, 0.000251,, [160 90]
