
Caudal Layer, 6-D input stimuli
Experiment:, list1,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 1, 
 Stimulus Set 1:
Sample 1, [ 0.667  0.333, 0.050  0.667, 0.333  0.950, 0.333  0.667 ],Novel 1, [ 0.000  0.000, 0.000  0.000, 0.000  0.000, 0.000  0.000 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, 1, Sample, 79.872407, 79.194184, 77.095269, 80.264678, 79.106635, 109814.663693, 77259.643157, 77517.388301, 111973.577670, 94141.318205, 0.000866, 0.531286, [76 113], [142 169], [160 181], [76 46]
 1, 1, Novel, 13.143467, 14.203382, 13.112338, 13.690709, 13.537474, 50720.200684, 51186.837658, 51179.666319, 51198.214846, 51071.229877, 0.000265, , [98 106], [7 198], [21 36], [14 14]
 2, 1, Sample, 82.194491, 78.237723, 81.362807, 80.410885, 80.551477, 109808.971541, 77395.621282, 77422.359147, 111973.642106, 94150.148519, 0.000882, 0.462739, [85 41], [93 159], [89 139], [152 16]
 2, 1, Novel, 12.987918, 21.040319, 20.481616, 11.614386, 16.531060, 50638.108188, 51116.973496, 51171.965043, 51022.038404, 50987.271283, 0.000324, , [146 189], [146 191], [153 191], [106 187]
 3, 1, Sample, 81.141379, 77.988982, 77.329474, 79.619478, 79.019828, 109651.131969, 77394.379908, 77248.370754, 111977.415820, 94067.824613, 0.000865, 0.506613, [68 105], [5 183], [178 78], [20 53]
 3, 1, Novel, 12.692650, 12.267995, 14.441261, 18.465426, 14.466833, 50792.072993, 51209.627323, 51108.923595, 51152.340493, 51065.741101, 0.000283, , [190 172], [45 95], [42 77], [43 77]
 4, 1, Sample, 80.768201, 77.539080, 79.149778, 80.173967, 79.407756, 109822.144824, 77419.009588, 77536.637885, 111916.657358, 94173.612414, 0.000869, 0.516780, [140 97], [22 3], [41 159], [32 139]
 4, 1, Novel, 12.784875, 13.795347, 13.237932, 16.564859, 14.095753, 50690.247821, 51029.603883, 50958.385269, 51050.853767, 50932.272685, 0.000277, , [40 93], [183 3], [61 180], [25 161]
 5, 1, Sample, 82.262730, 79.357880, 77.802386, 80.834954, 80.064488, 109762.321804, 77526.589943, 77367.548885, 111959.165179, 94153.906453, 0.000875, 0.540247, [149 114], [193 37], [18 200], [185 103]
 5, 1, Novel, 14.636757, 12.779975, 13.375466, 12.487735, 13.319983, 50663.210173, 51114.407448, 51150.838459, 51071.089390, 50999.886368, 0.000261, , [101 105], [73 102], [128 104], [153 42]
 6, 1, Sample, 81.075608, 77.741367, 77.151710, 80.266253, 79.058734, 109410.845591, 77398.303228, 77515.706253, 112008.858579, 94083.428413, 0.000864, 0.514717, [13 89], [174 42], [186 164], [99 61]
 6, 1, Novel, 14.098309, 16.088448, 12.712690, 13.545877, 14.111331, 50655.149598, 50967.669387, 51068.463097, 51164.684743, 50963.991706, 0.000277, , [33 128], [26 166], [139 100], [45 14]
