
Perirhinal Layer, 24-D input stimuli
Experiment:, list1, 
Stim Condition:, 2, 
 Stimulus Set 1:
Sample 1, [ 0.050 0.333, 0.667 0.050, 0.950 0.333, 0.667 0.667 ],Novel 1, [ 0.333 0.333, 0.950 0.050, 0.950 0.667, 0.667 0.050 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 1, 1, Sample, 82.893063, 79850.133731, 0.001038, 0.633222, [30 72]
 1, 1, Novel, 17.221866, 73871.998107, 0.000233,, [30 123]
 2, 1, Sample, 82.893063, 79804.099113, 0.001039, 0.607995, [169 183]
 2, 1, Novel, 18.687879, 73800.748285, 0.000253,, [161 12]
 3, 1, Sample, 82.893063, 79828.850202, 0.001038, 0.570547, [143 86]
 3, 1, Novel, 20.986651, 73912.909423, 0.000284,, [146 87]
 4, 1, Sample, 82.893063, 79786.814942, 0.001039, 0.630279, [49 4]
 4, 1, Novel, 17.393267, 73821.410375, 0.000236,, [8 41]
 5, 1, Sample, 82.893063, 79802.006369, 0.001039, 0.624367, [145 154]
 5, 1, Novel, 17.729546, 73809.656137, 0.000240,, [140 123]
 6, 1, Sample, 82.893063, 79860.725630, 0.001038, 0.625415, [76 135]
 6, 1, Novel, 17.664659, 73847.277018, 0.000239,, [92 60]
