
Caudal Layer, 6-D input stimuli
Experiment:, list1,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 2, 
 Stimulus Set 1:
Sample 1, [ 0.050  0.333, 0.667  0.050, 0.950  0.333, 0.667  0.667 ],Novel 1, [ 0.333  0.333, 0.950  0.050, 0.950  0.667, 0.667  0.050 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76713.676302, 77433.711161, 77576.155486, 112130.379523, 85963.480618, 0.000990, 0.577936, [153 142], [170 194], [74 36], [38 174]
 1, 1, Novel, 27.425656, 14.660325, 22.990598, 20.288493, 21.341268, 109810.533501, 58578.212765, 77473.195195, 77398.735186, 80815.169162, 0.000265, , [38 90], [149 170], [73 196], [36 29]
 2, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76747.390532, 77386.413533, 77255.965864, 112121.729124, 85877.874763, 0.000991, 0.556460, [44 74], [16 159], [33 111], [134 87]
 2, 1, Novel, 29.600728, 17.665539, 22.891016, 20.222724, 22.595002, 109803.543456, 58564.780612, 77205.043343, 77258.657005, 80708.006104, 0.000282, , [83 68], [140 42], [139 112], [130 7]
 3, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76403.012377, 77499.309179, 77363.459022, 112069.586878, 85833.841864, 0.000991, 0.585841, [166 6], [131 175], [164 162], [199 112]
 3, 1, Novel, 28.710306, 15.669350, 20.495580, 18.614437, 20.872418, 109462.330253, 58617.586723, 77336.335701, 77219.544972, 80658.949412, 0.000259, , [42 107], [189 70], [127 11], [150 119]
 4, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76567.268500, 77349.510886, 77425.085685, 111999.170161, 85835.258808, 0.000991, 0.548801, [195 108], [2 177], [4 176], [158 136]
 4, 1, Novel, 29.477834, 20.571109, 22.311485, 19.100455, 22.865221, 109693.749291, 58566.742929, 77356.571646, 77422.210736, 80759.818650, 0.000289, , [168 41], [15 22], [23 72], [77 85]
 5, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76641.560551, 77390.867652, 77578.590585, 112094.012474, 85926.257816, 0.000990, 0.569553, [177 62], [168 140], [133 60], [71 92]
 5, 1, Novel, 28.874754, 16.672332, 23.959367, 17.719988, 21.806610, 109717.264253, 58646.836050, 77416.833826, 77291.715713, 80768.162460, 0.000272, , [166 10], [181 42], [130 105], [42 71]
 6, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76489.473277, 77607.375241, 77621.640747, 112150.485930, 85967.243799, 0.000990, 0.568320, [33 114], [37 88], [141 1], [141 160]
 6, 1, Novel, 27.744304, 18.157133, 20.850363, 19.990288, 21.685522, 109438.267515, 58777.160168, 77391.928913, 77531.650803, 80784.751850, 0.000272, , [121 25], [8 48], [10 188], [197 117]
