
Group Lesion
Experiment:, list12, 

Stim Condition:, 1, 
 Stim Pair 1:,Sample: , [ 0.333 0.333, 0.667 0.950, 0.050 0.950, 0.667 0.333 ],Novel: , [ 0.950 0.050, 0.050 0.050, 0.333 0.950, 0.050 0.333 ] Stim Pair 2:,Sample: , [ 0.333 0.950, 0.667 0.950, 0.333 0.050, 0.333 0.333 ],Novel: , [ 0.050 0.050, 0.050 0.333, 0.950 0.950, 0.667 0.050 ] Stim Pair 3:,Sample: , [ 0.667 0.333, 0.667 0.950, 0.333 0.667, 0.333 0.950 ],Novel: , [ 0.333 0.050, 0.950 0.333, 0.050 0.667, 0.333 0.333 ] Stim Pair 4:,Sample: , [ 0.950 0.950, 0.667 0.333, 0.050 0.950, 0.667 0.950 ],Novel: , [ 0.050 0.333, 0.333 0.667, 0.950 0.667, 0.333 0.050 ] Stim Pair 5:,Sample: , [ 0.667 0.333, 0.950 0.667, 0.050 0.950, 0.667 0.950 ],Novel: , [ 0.333 0.950, 0.333 0.333, 0.050 0.050, 0.667 0.050 ] Stim Pair 6:,Sample: , [ 0.050 0.667, 0.050 0.050, 0.667 0.667, 0.050 0.950 ],Novel: , [ 0.667 0.950, 0.950 0.050, 0.950 0.667, 0.950 0.950 ] Stim Pair 7:,Sample: , [ 0.667 0.050, 0.950 0.050, 0.050 0.667, 0.333 0.050 ],Novel: , [ 0.333 0.333, 0.050 0.950, 0.667 0.333, 0.950 0.333 ] Stim Pair 8:,Sample: , [ 0.950 0.050, 0.333 0.950, 0.333 0.050, 0.950 0.667 ],Novel: , [ 0.667 0.950, 0.333 0.333, 0.050 0.050, 0.050 0.333 ] Stim Pair 9:,Sample: , [ 0.333 0.667, 0.333 0.333, 0.667 0.667, 0.050 0.050 ],Novel: , [ 0.333 0.950, 0.667 0.050, 0.050 0.667, 0.050 0.950 ] Stim Pair 10:,Sample: , [ 0.333 0.667, 0.050 0.333, 0.333 0.950, 0.333 0.050 ],Novel: , [ 0.950 0.050, 0.667 0.667, 0.667 0.950, 0.950 0.667 ] Stim Pair 11:,Sample: , [ 0.667 0.333, 0.950 0.050, 0.333 0.950, 0.950 0.667 ],Novel: , [ 0.050 0.950, 0.050 0.667, 0.333 0.667, 0.050 0.333 ] Stim Pair 12:,Sample: , [ 0.333 0.667, 0.333 0.333, 0.950 0.950, 0.950 0.667 ],Novel: , [ 0.667 0.050, 0.667 0.333, 0.333 0.050, 0.950 0.333 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 80.125512, 82.893063, 82.893063, 81.315335, 81.806743, 109593.878652, 77354.950076, 58728.047384, 112334.448929, 89502.831260, 0.000985, 0.003665, [61 120], [177 173], [149 179], [8 21]
 1, Novel, 75.357303, 76.226781, 82.893063, 18.614974, 63.273031, 57969.163593, 58691.246638, 77468.440944, 77389.748128, 67879.649826, 0.000977, , [8 200], [155 96], [57 57], [146 39]
 2, Sample, 77.185117, 82.893063, 82.893063, 82.580659, 81.387976, 76868.760881, 77354.950076, 77392.015863, 112190.312937, 85951.509939, 0.000971, 0.160786, [124 113], [177 173], [87 134], [84 88]
 2, Novel, 14.666235, 78.847809, 75.338101, 19.627422, 47.119892, 57976.074679, 77403.380531, 58730.364873, 77643.840628, 67938.415178, 0.000702, , [143 189], [151 126], [76 46], [190 190]
 3, Sample, 82.893063, 82.893063, 80.087343, 76.773195, 80.661666, 109488.418026, 77354.950076, 111924.731495, 77375.821149, 94035.980187, 0.000884, 0.223638, [15 154], [177 173], [139 34], [75 151]
 3, Novel, 19.882849, 18.481409, 77.977856, 82.580659, 49.730693, 76268.055314, 77310.446840, 77363.366482, 112190.312937, 85783.045393, 0.000561, , [13 176], [159 178], [79 70], [84 88]
 4, Sample, 75.195247, 80.856253, 82.893063, 82.893063, 80.459407, 58224.538426, 111806.480465, 58728.047384, 77434.153174, 76548.304863, 0.001124, 0.423381, [7 39], [170 23], [149 179], [149 179]
 4, Novel, 18.425603, 29.953813, 19.032684, 82.893063, 37.576291, 76507.935797, 111701.138749, 77461.755141, 77694.680652, 85841.377585, 0.000455, , [3 184], [72 103], [4 100], [152 96]
 5, Sample, 82.893063, 78.520361, 82.893063, 82.893063, 81.799888, 109488.418026, 77309.792364, 58728.047384, 77434.153174, 80740.102737, 0.001064, 0.301189, [15 154], [115 138], [149 179], [149 179]
 5, Novel, 77.185117, 82.893063, 16.799662, 19.627422, 49.126316, 76868.760881, 111863.666680, 58515.112527, 77643.840628, 81222.845179, 0.000571, , [124 113], [77 126], [153 96], [190 190]
 6, Sample, 78.376375, 76.226781, 76.774701, 76.748968, 77.031706, 76809.549322, 58691.246638, 112029.202190, 58615.604505, 76536.400664, 0.001078, 0.327471, [47 49], [155 96], [61 61], [56 52]
 6, Novel, 20.016738, 82.893063, 19.032684, 15.636897, 34.394846, 76680.698192, 58705.797954, 77461.755141, 58620.952440, 67867.300932, 0.000546, , [165 135], [159 132], [4 100], [37 138]
 7, Sample, 77.720912, 82.893063, 77.977856, 82.893063, 80.371224, 76310.102078, 58705.797954, 77363.366482, 77694.680652, 72518.486791, 0.001126, 0.483393, [128 59], [159 132], [79 70], [152 96]
