
Caudal Layer, 6-D input stimuli
Experiment:, list12,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 1, 
 Stimulus Set 1:
Sample 1, [ 0.333  0.333, 0.667  0.950, 0.050  0.950, 0.667  0.333 ],Novel 1, [ 0.950  0.050, 0.050  0.050, 0.333  0.950, 0.050  0.333 ] Sample 2, [ 0.333  0.950, 0.667  0.950, 0.333  0.050, 0.333  0.333 ],Novel 2, [ 0.050  0.050, 0.050  0.333, 0.950  0.950, 0.667  0.050 ] Sample 3, [ 0.667  0.333, 0.667  0.950, 0.333  0.667, 0.333  0.950 ],Novel 3, [ 0.333  0.050, 0.950  0.333, 0.050  0.667, 0.333  0.333 ] Sample 4, [ 0.950  0.950, 0.667  0.333, 0.050  0.950, 0.667  0.950 ],Novel 4, [ 0.050  0.333, 0.333  0.667, 0.950  0.667, 0.333  0.050 ] Sample 5, [ 0.667  0.333, 0.950  0.667, 0.050  0.950, 0.667  0.950 ],Novel 5, [ 0.333  0.950, 0.333  0.333, 0.050  0.050, 0.667  0.050 ] Sample 6, [ 0.050  0.667, 0.050  0.050, 0.667  0.667, 0.050  0.950 ],Novel 6, [ 0.667  0.950, 0.950  0.050, 0.950  0.667, 0.950  0.950 ] Sample 7, [ 0.667  0.050, 0.950  0.050, 0.050  0.667, 0.333  0.050 ],Novel 7, [ 0.333  0.333, 0.050  0.950, 0.667  0.333, 0.950  0.333 ] Sample 8, [ 0.950  0.050, 0.333  0.950, 0.333  0.050, 0.950  0.667 ],Novel 8, [ 0.667  0.950, 0.333  0.333, 0.050  0.050, 0.050  0.333 ] Sample 9, [ 0.333  0.667, 0.333  0.333, 0.667  0.667, 0.050  0.050 ],Novel 9, [ 0.333  0.950, 0.667  0.050, 0.050  0.667, 0.050  0.950 ] Sample 10, [ 0.333  0.667, 0.050  0.333, 0.333  0.950, 0.333  0.050 ],Novel 10, [ 0.950  0.050, 0.667  0.667, 0.667  0.950, 0.950  0.667 ] Sample 11, [ 0.667  0.333, 0.950  0.050, 0.333  0.950, 0.950  0.667 ],Novel 11, [ 0.050  0.950, 0.050  0.667, 0.333  0.667, 0.050  0.333 ] Sample 12, [ 0.333  0.667, 0.333  0.333, 0.950  0.950, 0.950  0.667 ],Novel 12, [ 0.667  0.050, 0.667  0.333, 0.333  0.050, 0.950  0.333 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109847.812901, 77463.273764, 58933.234764, 112054.907716, 89574.807286, 0.000993, -0.024167, [38 90], [159 102], [89 29], [135 98]
 1, 1, Novel, 82.893063, 82.893063, 82.893063, 20.634956, 67.328537, 58288.498120, 58713.047632, 77685.059798, 77363.537192, 68012.535686, 0.001042, , [106 77], [106 115], [31 167], [187 11]
 1, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76504.515571, 77463.273764, 77323.254061, 111991.384316, 85820.606928, 0.000991, 0.136912, [88 157], [159 102], [173 183], [182 170]
 1, 2, Novel, 15.613863, 82.893063, 82.893063, 20.288493, 50.422121, 58185.724822, 77443.433099, 58796.837768, 77403.819103, 67957.453698, 0.000753, , [137 41], [40 120], [74 191], [36 29]
 1, 3, Sample, 82.893063, 82.893063, 82.893063, 61.582585, 77.565444, 109870.425305, 77463.273764, 112039.883401, 77377.551307, 94187.783444, 0.000840, 0.175226, [92 22], [159 102], [87 58], [88 31]
 1, 3, Novel, 21.008700, 21.214934, 82.893063, 82.893063, 52.002440, 76665.866987, 77263.138013, 77509.150847, 111991.384316, 85857.385041, 0.000590, , [162 102], [10 151], [145 108], [182 170]
 1, 4, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58040.747937, 111763.907286, 58933.234764, 77506.367391, 76561.064344, 0.001161, 0.413196, [151 67], [21 8], [89 29], [113 142]
 1, 4, Novel, 20.112391, 29.854562, 25.567284, 82.893063, 39.606825, 76540.794521, 111754.783004, 77408.125241, 77547.526567, 85812.807333, 0.000482, , [153 142], [58 94], [73 196], [173 183]
 1, 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109870.425305, 77338.934041, 58933.234764, 77506.367391, 80912.240375, 0.001076, 0.292426, [92 22], [70 190], [89 29], [113 142]
 1, 5, Novel, 82.893063, 82.893063, 15.728329, 20.288493, 50.450737, 76504.515571, 111899.151562, 58463.102219, 77403.819103, 81067.647114, 0.000589, , [88 157], [188 46], [64 123], [36 29]
 1, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76549.881060, 58713.047632, 112124.401561, 58686.241806, 76518.393014, 0.001162, 0.325393, [197 107], [106 115], [26 105], [86 26]
 1, 6, Novel, 19.159993, 82.893063, 25.567284, 21.818057, 37.359599, 76337.652415, 58713.368160, 77408.125241, 58668.936375, 67782.020548, 0.000591, , [158 146], [149 170], [73 196], [74 195]
 1, 7, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76782.971983, 58713.368160, 77509.150847, 77547.526567, 72638.254389, 0.001157, 0.480279, [97 148], [149 170], [145 108], [173 183]
 1, 7, Novel, 82.893063, 16.036017, 33.967099, 22.715735, 38.902978, 109847.812901, 58599.557090, 111753.331459, 77451.831618, 89413.133267, 0.000406, , [38 90], [142 186], [12 200], [63 151]
 1, 8, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58288.498120, 77414.193944, 77323.254061, 77603.078536, 72657.256165, 0.001158, 0.504098, [106 77], [148 99], [173 183], [54 172]
 1, 8, Novel, 19.159993, 82.893063, 15.728329, 20.634956, 34.604085, 76337.652415, 111899.151562, 58463.102219, 77363.537192, 81015.860847, 0.000382, , [158 146], [188 46], [64 123], [187 11]
 1, 9, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109668.999395, 111899.151562, 112124.401561, 58740.161805, 98108.178581, 0.000912, -0.023077, [155 184], [188 46], [26 105], [178 136]
 1, 9, Novel, 82.893063, 19.632532, 82.893063, 82.893063, 67.077930, 76504.515571, 77303.146774, 77509.150847, 58686.241806, 72500.763750, 0.000955, , [88 157], [170 194], [145 108], [86 26]
