
Perirhinal Layer, 24-D input stimuli
Experiment:, list12, 
Stim Condition:, 4, 
 Stimulus Set 1:
Sample 1, [ 0.667 0.950, 0.667 0.050, 0.667 0.667, 0.333 0.667 ],Novel 1, [ 0.667 0.333, 0.050 0.333, 0.333 0.950, 0.950 0.050 ] Sample 2, [ 0.667 0.050, 0.333 0.950, 0.667 0.333, 0.950 0.050 ],Novel 2, [ 0.667 0.667, 0.950 0.950, 0.050 0.667, 0.333 0.333 ] Sample 3, [ 0.950 0.950, 0.950 0.667, 0.050 0.667, 0.050 0.050 ],Novel 3, [ 0.333 0.950, 0.333 0.050, 0.050 0.950, 0.950 0.050 ] Sample 4, [ 0.050 0.950, 0.050 0.667, 0.050 0.050, 0.950 0.950 ],Novel 4, [ 0.333 0.667, 0.333 0.333, 0.950 0.667, 0.333 0.050 ] Sample 5, [ 0.950 0.333, 0.050 0.333, 0.333 0.050, 0.667 0.050 ],Novel 5, [ 0.050 0.667, 0.050 0.050, 0.667 0.950, 0.333 0.950 ] Sample 6, [ 0.950 0.950, 0.333 0.950, 0.950 0.333, 0.050 0.333 ],Novel 6, [ 0.950 0.667, 0.050 0.950, 0.667 0.050, 0.333 0.050 ] Sample 7, [ 0.050 0.050, 0.050 0.950, 0.667 0.333, 0.667 0.950 ],Novel 7, [ 0.333 0.333, 0.333 0.050, 0.333 0.667, 0.050 0.333 ] Sample 8, [ 0.950 0.950, 0.667 0.050, 0.333 0.050, 0.050 0.667 ],Novel 8, [ 0.050 0.950, 0.667 0.667, 0.950 0.050, 0.050 0.050 ] Sample 9, [ 0.667 0.667, 0.950 0.050, 0.950 0.667, 0.050 0.333 ],Novel 9, [ 0.050 0.950, 0.950 0.950, 0.667 0.333, 0.667 0.950 ] Sample 10, [ 0.667 0.950, 0.667 0.333, 0.667 0.667, 0.050 0.667 ],Novel 10, [ 0.333 0.333, 0.950 0.333, 0.333 0.050, 0.050 0.333 ] Sample 11, [ 0.050 0.950, 0.950 0.333, 0.950 0.950, 0.950 0.667 ],Novel 11, [ 0.333 0.667, 0.667 0.950, 0.667 0.050, 0.333 0.050 ] Sample 12, [ 0.950 0.950, 0.333 0.667, 0.950 0.333, 0.050 0.050 ],Novel 12, [ 0.667 0.950, 0.333 0.050, 0.950 0.050, 0.333 0.333 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 1, 1, Sample, 41.007469, 86718.014127, 0.000473, 0.313029, [154 127]
 1, 1, Novel, 18.239675, 73722.460581, 0.000247,, [191 107]
 1, 2, Sample, 82.893063, 73845.947208, 0.001123, 0.528347, [197 148]
 1, 2, Novel, 27.608374, 79698.321591, 0.000346,, [12 147]
 1, 3, Sample, 82.893063, 64296.331807, 0.001289, 0.669744, [14 146]
 1, 3, Novel, 16.337027, 64067.881518, 0.000255,, [143 73]
 1, 4, Sample, 82.893063, 60045.532729, 0.001381, 0.698094, [76 170]
 1, 4, Novel, 21.284646, 86720.086488, 0.000245,, [110 20]
 1, 5, Sample, 82.893063, 73926.339561, 0.001121, 0.651224, [140 94]
 1, 5, Novel, 16.238583, 68562.738003, 0.000237,, [181 146]
 1, 6, Sample, 52.443562, 68833.072709, 0.000762, 0.387502, [4 98]
 1, 6, Novel, 23.124464, 68755.164812, 0.000336,, [10 96]
 1, 7, Sample, 82.893063, 68621.813458, 0.001208, 0.669260, [167 130]
 1, 7, Novel, 20.727709, 86602.874365, 0.000239,, [152 26]
 1, 8, Sample, 82.893063, 68840.522821, 0.001204, 0.678253, [147 130]
 1, 8, Novel, 14.820257, 64198.571836, 0.000231,, [122 119]
 1, 9, Sample, 73.384738, 73975.685460, 0.000992, 0.617438, [151 124]
 1, 9, Novel, 16.096928, 68604.306627, 0.000235,, [160 163]
 1, 10, Sample, 82.893063, 86852.194605, 0.000954, 0.577773, [157 125]
 1, 10, Novel, 20.352367, 79684.794887, 0.000255,, [157 74]
 1, 11, Sample, 82.893063, 64158.964645, 0.001292, 0.689617, [124 36]
 1, 11, Novel, 18.937084, 79788.919037, 0.000237,, [171 127]
 1, 12, Sample, 82.893063, 68957.205374, 0.001202, 0.593679, [7 96]
 1, 12, Novel, 22.656017, 73922.435539, 0.000306,, [146 127]
 2, 1, Sample, 36.642903, 86674.087806, 0.000423, 0.257156, [30 125]
 2, 1, Novel, 18.451113, 73860.794832, 0.000250,, [48 40]
 2, 2, Sample, 82.893063, 73914.574091, 0.001121, 0.575901, [171 83]
 2, 2, Novel, 24.027208, 79611.775171, 0.000302,, [102 187]
 2, 3, Sample, 82.893063, 64213.764572, 0.001291, 0.687304, [102 183]
 2, 3, Novel, 15.321996, 64046.592240, 0.000239,, [91 61]
 2, 4, Sample, 82.893063, 60031.801014, 0.001381, 0.706809, [64 154]
 2, 4, Novel, 20.546834, 86624.771453, 0.000237,, [73 69]
 2, 5, Sample, 82.893063, 74018.132018, 0.001120, 0.627461, [157 150]
 2, 5, Novel, 17.587284, 68605.253266, 0.000256,, [22 39]
 2, 6, Sample, 52.066697, 68802.914624, 0.000757, 0.345054, [8 112]
 2, 6, Novel, 25.340324, 68769.125192, 0.000368,, [9 114]
 2, 7, Sample, 82.893063, 68683.394351, 0.001207, 0.669474, [40 81]
 2, 7, Novel, 20.686742, 86576.424842, 0.000239,, [173 78]
 2, 8, Sample, 82.893063, 68800.371358, 0.001205, 0.679589, [188 26]
 2, 8, Novel, 14.706999, 63987.132949, 0.000230,, [117 158]
 2, 9, Sample, 58.350749, 73886.460901, 0.000790, 0.530728, [34 129]
 2, 9, Novel, 16.573927, 68456.955800, 0.000242,, [170 107]
 2, 10, Sample, 78.013525, 86771.193962, 0.000899, 0.561871, [32 123]
 2, 10, Novel, 20.059441, 79536.629832, 0.000252,, [196 166]
 2, 11, Sample, 82.893063, 64067.064903, 0.001294, 0.655387, [39 121]
 2, 11, Novel, 21.439276, 79596.512778, 0.000269,, [8 110]
 2, 12, Sample, 82.893063, 68914.936131, 0.001203, 0.676805, [6 115]
 2, 12, Novel, 17.124700, 73864.479699, 0.000232,, [6 54]
 3, 1, Sample, 53.336090, 86658.907125, 0.000615, 0.409664, [186 61]
 3, 1, Novel, 19.004533, 73733.638496, 0.000258,, [76 84]
 3, 2, Sample, 82.893063, 73950.728315, 0.001121, 0.591235, [80 154]
 3, 2, Novel, 22.960254, 79737.279614, 0.000288,, [8 46]
 3, 3, Sample, 82.893063, 64271.607526, 0.001290, 0.684363, [4 46]
 3, 3, Novel, 15.472145, 64017.553928, 0.000242,, [183 82]
 3, 4, Sample, 82.893063, 59978.293117, 0.001382, 0.708249, [25 171]
 3, 4, Novel, 20.430243, 86554.371377, 0.000236,, [87 31]
 3, 5, Sample, 82.893063, 73892.988870, 0.001122, 0.648796, [37 104]
 3, 5, Novel, 16.350494, 68426.444058, 0.000239,, [129 107]
 3, 6, Sample, 47.046310, 68753.916496, 0.000684, 0.292339, [174 9]
 3, 6, Novel, 25.735985, 68685.343611, 0.000375,, [170 8]
 3, 7, Sample, 82.893063, 68604.542257, 0.001208, 0.669195, [104 5]
 3, 7, Novel, 20.693023, 86415.762198, 0.000239,, [127 190]
 3, 8, Sample, 82.893063, 68751.545214, 0.001206, 0.664401, [59 55]
 3, 8, Novel, 15.573274, 64059.192362, 0.000243,, [183 35]
 3, 9, Sample, 82.893063, 73958.788828, 0.001121, 0.606662, [36 29]
 3, 9, Novel, 18.819591, 68586.745405, 0.000274,, [24 99]
 3, 10, Sample, 82.893063, 86735.207600, 0.000956, 0.597779, [184 58]
 3, 10, Novel, 19.157951, 79630.294340, 0.000241,, [35 48]
 3, 11, Sample, 82.893063, 64170.292653, 0.001292, 0.676503, [21 100]
 3, 11, Novel, 19.871105, 79720.966050, 0.000249,, [179 56]
 3, 12, Sample, 82.893063, 68849.590369, 0.001204, 0.672691, [172 6]
 3, 12, Novel, 17.383064, 73784.819159, 0.000236,, [54 187]
 4, 1, Sample, 44.670858, 86575.038327, 0.000516, 0.368545, [69 125]
 4, 1, Novel, 17.554711, 73735.816076, 0.000238,, [86 194]
 4, 2, Sample, 82.893063, 73897.962153, 0.001122, 0.546888, [185 185]
 4, 2, Novel, 26.177769, 79671.050843, 0.000329,, [139 53]
 4, 3, Sample, 82.893063, 64234.725396, 0.001290, 0.689545, [141 51]
 4, 3, Novel, 15.173008, 63987.486655, 0.000237,, [154 95]
 4, 4, Sample, 81.238924, 59967.850472, 0.001355, 0.690236, [197 52]
 4, 4, Novel, 21.493161, 86570.694698, 0.000248,, [108 173]
 4, 5, Sample, 82.893063, 73951.514022, 0.001121, 0.648284, [79 58]
 4, 5, Novel, 16.377297, 68471.757121, 0.000239,, [107 10]
 4, 6, Sample, 47.728913, 68745.299029, 0.000694, 0.320989, [1 46]
 4, 6, Novel, 24.524033, 68718.828587, 0.000357,, [198 48]
 4, 7, Sample, 82.893063, 68621.576563, 0.001208, 0.679502, [197 145]
 4, 7, Novel, 19.946812, 86530.793315, 0.000231,, [145 191]
 4, 8, Sample, 82.893063, 68763.006122, 0.001205, 0.655997, [200 98]
 4, 8, Novel, 16.039987, 64052.767272, 0.000250,, [191 85]
 4, 9, Sample, 73.620488, 73881.971713, 0.000996, 0.611974, [70 122]
 4, 9, Novel, 16.426932, 68484.775073, 0.000240,, [173 151]
 4, 10, Sample, 82.893063, 86688.024268, 0.000956, 0.620707, [74 125]
 4, 10, Novel, 17.827124, 79662.107817, 0.000224,, [75 107]
 4, 11, Sample, 82.893063, 64050.486285, 0.001294, 0.692901, [10 182]
 4, 11, Novel, 18.707323, 79683.748266, 0.000235,, [194 176]
 4, 12, Sample, 82.893063, 68861.229282, 0.001204, 0.647068, [198 44]
 4, 12, Novel, 19.034635, 73794.147153, 0.000258,, [114 115]
 5, 1, Sample, 53.104847, 86762.272718, 0.000612, 0.440741, [69 117]
