
Group Lesion
Experiment:, list12, 
Stim Pair 1:,Sample: , [ 0.950 0.667, 0.667 0.950, 0.050 0.667, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.050 0.950, 0.333 0.050, 0.667 0.667 ] Stim Pair 2:,Sample: , [ 0.333 0.050, 0.333 0.950, 0.050 0.333, 0.950 0.950 ],Novel: , [ 0.667 0.333, 0.333 0.667, 0.667 0.050, 0.333 0.333 ] Stim Pair 3:,Sample: , [ 0.333 0.667, 0.667 0.950, 0.667 0.333, 0.950 0.050 ],Novel: , [ 0.667 0.050, 0.667 0.667, 0.050 0.950, 0.333 0.950 ] Stim Pair 4:,Sample: , [ 0.950 0.050, 0.050 0.050, 0.667 0.333, 0.050 0.333 ],Novel: , [ 0.333 0.050, 0.667 0.667, 0.333 0.950, 0.667 0.333 ] Stim Pair 5:,Sample: , [ 0.333 0.667, 0.333 0.050, 0.950 0.333, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.950 0.950, 0.667 0.950, 0.050 0.333 ] Stim Pair 6:,Sample: , [ 0.333 0.950, 0.667 0.050, 0.050 0.950, 0.667 0.667 ],Novel: , [ 0.333 0.333, 0.950 0.950, 0.667 0.950, 0.333 0.667 ] Stim Pair 7:,Sample: , [ 0.050 0.333, 0.333 0.667, 0.667 0.950, 0.950 0.050 ],Novel: , [ 0.050 0.667, 0.333 0.950, 0.050 0.050, 0.667 0.667 ] Stim Pair 8:,Sample: , [ 0.950 0.950, 0.333 0.050, 0.333 0.333, 0.050 0.950 ],Novel: , [ 0.667 0.333, 0.333 0.667, 0.950 0.050, 0.667 0.950 ] Stim Pair 9:,Sample: , [ 0.333 0.950, 0.050 0.950, 0.050 0.050, 0.950 0.667 ],Novel: , [ 0.333 0.333, 0.050 0.667, 0.950 0.950, 0.667 0.050 ] Stim Pair 10:,Sample: , [ 0.050 0.333, 0.667 0.050, 0.950 0.333, 0.667 0.667 ],Novel: , [ 0.950 0.050, 0.667 0.333, 0.050 0.950, 0.667 0.950 ] Stim Pair 11:,Sample: , [ 0.667 0.333, 0.667 0.050, 0.950 0.333, 0.667 0.667 ],Novel: , [ 0.950 0.050, 0.667 0.333, 0.050 0.950, 0.667 0.950 ] Stim Pair 12:,Sample: , [ 0.950 0.950, 0.050 0.950, 0.667 0.333, 0.050 0.667 ],Novel: , [ 0.050 0.050, 0.333 0.950, 0.667 0.050, 0.333 0.050 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 77.679761, 82.893063, 66.217903, 82.893063, 77.420948, 76412.658789, 77444.885533, 77490.539677, 58709.849422, 72514.483355, 0.001088, 0.077744, [8 189], [197 130], [174 33], [178 20]
 1, Novel, 76.505318, 82.893063, 20.019791, 82.893063, 65.577809, 58202.478232, 58702.491233, 77341.772346, 112032.866439, 76569.902062, 0.000931, , [98 195], [118 178], [118 62], [190 127]
 2, Sample, 76.258912, 79.231632, 80.657440, 75.251898, 77.849971, 76711.046563, 77428.494390, 77521.569526, 58667.800074, 72582.227638, 0.001085, 0.377119, [190 53], [166 194], [169 32], [80 60]
 2, Novel, 80.117395, 81.150934, 18.779848, 29.550663, 52.399710, 109741.842014, 111771.809573, 77275.522845, 111878.556273, 102666.932676, 0.000491, , [67 66], [76 156], [40 92], [197 92]
 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109678.863757, 77444.885533, 111870.451258, 58606.537008, 89400.184389, 0.000995, 0.311015, [176 122], [197 130], [94 200], [140 37]
 3, Novel, 23.031428, 30.271691, 75.033951, 18.874374, 36.802861, 76618.540808, 111776.613754, 58729.939821, 77547.773276, 81168.216915, 0.000523, , [51 37], [192 3], [162 147], [32 130]
 4, Sample, 76.505318, 75.022154, 82.893063, 77.072218, 77.873188, 58202.478232, 58637.324848, 111870.451258, 77501.157667, 76552.853001, 0.001082, 0.391253, [98 195], [67 157], [94 200], [28 129]
 4, Novel, 76.258912, 30.271691, 28.719391, 28.879758, 41.032438, 76711.046563, 111776.613754, 77406.314765, 111779.830227, 94418.451327, 0.000474, , [190 53], [192 3], [163 145], [23 135]
 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109678.863757, 77427.081129, 77360.438709, 58709.849422, 80794.058254, 0.001077, 0.091728, [176 122], [139 137], [21 86], [178 20]
 5, Novel, 76.505318, 15.703926, 78.086934, 77.072218, 61.842099, 58202.478232, 58583.187357, 77422.394062, 77501.157667, 67927.304329, 0.000896, , [98 195], [93 103], [7 80], [28 129]
 6, Sample, 82.893063, 82.893063, 75.033951, 82.893063, 80.928285, 76473.336019, 77445.019553, 58729.939821, 112032.866439, 81170.290458, 0.001043, 0.399635, [158 4], [102 78], [162 147], [190 127]
 6, Novel, 27.535074, 15.703926, 78.086934, 29.382007, 37.676985, 109780.760263, 58583.187357, 77422.394062, 112142.335564, 89482.169312, 0.000447, , [146 113], [93 103], [7 80], [200 26]
 7, Sample, 82.893063, 81.150934, 78.086934, 82.893063, 81.255999, 76666.498369, 111771.809573, 77422.394062, 58606.537008, 81116.809753, 0.001058, 0.117063, [47 64], [76 156], [7 80], [140 37]
