Experiment:, list12,,,,,,,,
Stimuli for List Length 12:,,,,,,,,,
Stim Pair 1:,,,,,,,,,
Sample: , [ 0.950 0.667, 0.667 0.950, 0.050 0.667, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.050 0.950, 0.333 0.050, 0.667 0.667 ] 
Stim Pair 2:,,,,,,,,,
Sample: , [ 0.333 0.050, 0.333 0.950, 0.050 0.333, 0.950 0.950 ],Novel: , [ 0.667 0.333, 0.333 0.667, 0.667 0.050, 0.333 0.333 ] 
Stim Pair 3:,,,,,,,,,
Sample: , [ 0.333 0.667, 0.667 0.950, 0.667 0.333, 0.950 0.050 ],Novel: , [ 0.667 0.050, 0.667 0.667, 0.050 0.950, 0.333 0.950 ] 
Stim Pair 4:,,,,,,,,,
Sample: , [ 0.950 0.050, 0.050 0.050, 0.667 0.333, 0.050 0.333 ],Novel: , [ 0.333 0.050, 0.667 0.667, 0.333 0.950, 0.667 0.333 ] 
Stim Pair 5:,,,,,,,,,
Sample: , [ 0.333 0.667, 0.333 0.050, 0.950 0.333, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.950 0.950, 0.667 0.950, 0.050 0.333 ] 
Stim Pair 6:,,,,,,,,,
Sample: , [ 0.333 0.950, 0.667 0.050, 0.050 0.950, 0.667 0.667 ],Novel: , [ 0.333 0.333, 0.950 0.950, 0.667 0.950, 0.333 0.667 ] 
Stim Pair 7:,,,,,,,,,
Sample: , [ 0.050 0.333, 0.333 0.667, 0.667 0.950, 0.950 0.050 ],Novel: , [ 0.050 0.667, 0.333 0.950, 0.050 0.050, 0.667 0.667 ] 
Stim Pair 8:,,,,,,,,,
Sample: , [ 0.950 0.950, 0.333 0.050, 0.333 0.333, 0.050 0.950 ],Novel: , [ 0.667 0.333, 0.333 0.667, 0.950 0.050, 0.667 0.950 ] 
Stim Pair 9:,,,,,,,,,
Sample: , [ 0.333 0.950, 0.050 0.950, 0.050 0.050, 0.950 0.667 ],Novel: , [ 0.333 0.333, 0.050 0.667, 0.950 0.950, 0.667 0.050 ] 
Stim Pair 10:,,,,,,,,,
Sample: , [ 0.050 0.333, 0.667 0.050, 0.950 0.333, 0.667 0.667 ],Novel: , [ 0.950 0.050, 0.667 0.333, 0.050 0.950, 0.667 0.950 ] 
Stim Pair 11:,,,,,,,,,
Sample: , [ 0.667 0.333, 0.667 0.050, 0.950 0.333, 0.667 0.667 ],Novel: , [ 0.950 0.050, 0.667 0.333, 0.050 0.950, 0.667 0.950 ] 
Stim Pair 12:,,,,,,,,,
Sample: , [ 0.950 0.950, 0.050 0.950, 0.667 0.333, 0.050 0.667 ],Novel: , [ 0.050 0.050, 0.333 0.950, 0.667 0.050, 0.333 0.050 ] 
NUM_ROWS = 200, A: 0.200  B: 0.400,,,,,,,,
PEAK_SIZE: 1, (9 winners if 1, 13 winners if 2),,,,,,,
Total training conditions: 1 ,Steps: ,100,,,,,,,
Total encoding conditions: 1 ,Steps: ,20,,,,,,,
No interference.,,,,,,,,,
Num input dims conditions: 3,,,,,,,,


 ,Repeat:  1,,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,Dscore PRh of Control,,Dscore Caud of Control 
 ,1,0.4366,,0.2771,,0.5967,,0.2764
 ,2,0.4364,,0.2796,,0.587,,0.2858
 ,3,0.4375,,0.2826,,0.5898,,0.2851
 ,4,0.4413,,0.2841,,0.6033,,0.2793
 ,5,0.4399,,0.2819,,0.5964,,0.2835
 ,6,0.4356,,0.2755,,0.5875,,0.2836
 ,Average,0.4379,,0.2801,,0.5935,,0.2823
 ,SEM,0.001,,0.0015,,0.0029,,0.0016
