
Group Lesion
Experiment:, list12, 

Stim Condition:, 1, 
 Stim Pair 1:,Sample: , [ 0.333 0.333, 0.667 0.950, 0.050 0.950, 0.667 0.333 ],Novel: , [ 0.950 0.050, 0.050 0.050, 0.333 0.950, 0.050 0.333 ] Stim Pair 2:,Sample: , [ 0.333 0.950, 0.667 0.950, 0.333 0.050, 0.333 0.333 ],Novel: , [ 0.050 0.050, 0.050 0.333, 0.950 0.950, 0.667 0.050 ] Stim Pair 3:,Sample: , [ 0.667 0.333, 0.667 0.950, 0.333 0.667, 0.333 0.950 ],Novel: , [ 0.333 0.050, 0.950 0.333, 0.050 0.667, 0.333 0.333 ] Stim Pair 4:,Sample: , [ 0.950 0.950, 0.667 0.333, 0.050 0.950, 0.667 0.950 ],Novel: , [ 0.050 0.333, 0.333 0.667, 0.950 0.667, 0.333 0.050 ] Stim Pair 5:,Sample: , [ 0.667 0.333, 0.950 0.667, 0.050 0.950, 0.667 0.950 ],Novel: , [ 0.333 0.950, 0.333 0.333, 0.050 0.050, 0.667 0.050 ] Stim Pair 6:,Sample: , [ 0.050 0.667, 0.050 0.050, 0.667 0.667, 0.050 0.950 ],Novel: , [ 0.667 0.950, 0.950 0.050, 0.950 0.667, 0.950 0.950 ] Stim Pair 7:,Sample: , [ 0.667 0.050, 0.950 0.050, 0.050 0.667, 0.333 0.050 ],Novel: , [ 0.333 0.333, 0.050 0.950, 0.667 0.333, 0.950 0.333 ] Stim Pair 8:,Sample: , [ 0.950 0.050, 0.333 0.950, 0.333 0.050, 0.950 0.667 ],Novel: , [ 0.667 0.950, 0.333 0.333, 0.050 0.050, 0.050 0.333 ] Stim Pair 9:,Sample: , [ 0.333 0.667, 0.333 0.333, 0.667 0.667, 0.050 0.050 ],Novel: , [ 0.333 0.950, 0.667 0.050, 0.050 0.667, 0.050 0.950 ] Stim Pair 10:,Sample: , [ 0.333 0.667, 0.050 0.333, 0.333 0.950, 0.333 0.050 ],Novel: , [ 0.950 0.050, 0.667 0.667, 0.667 0.950, 0.950 0.667 ] Stim Pair 11:,Sample: , [ 0.667 0.333, 0.950 0.050, 0.333 0.950, 0.950 0.667 ],Novel: , [ 0.050 0.950, 0.050 0.667, 0.333 0.667, 0.050 0.333 ] Stim Pair 12:,Sample: , [ 0.333 0.667, 0.333 0.333, 0.950 0.950, 0.950 0.667 ],Novel: , [ 0.667 0.050, 0.667 0.333, 0.333 0.050, 0.950 0.333 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 79.688895, 82.893063, 58.028497, 81.399052, 75.502377, 109844.572550, 77487.821462, 58815.071581, 111889.288805, 89509.188600, 0.000877, -0.058199, [146 113], [197 130], [162 145], [23 135]
 1, Novel, 76.505318, 75.022231, 82.893063, 21.804251, 64.056216, 58235.373935, 58615.170888, 77621.328947, 77453.172297, 67981.261517, 0.000986, , [98 195], [67 157], [163 150], [172 110]
 2, Sample, 76.666067, 82.893063, 82.893063, 81.206808, 80.914750, 76467.763091, 77487.821462, 77339.052981, 112029.221005, 85830.964635, 0.000967, 0.147370, [158 4], [197 130], [118 62], [197 92]
 2, Novel, 15.582271, 80.691139, 76.895265, 19.595895, 48.191143, 58183.982972, 77312.738641, 58697.243392, 77270.044534, 67866.002385, 0.000719, , [52 88], [52 87], [104 1], [164 70]
 3, Sample, 82.893063, 82.893063, 82.315836, 77.391249, 81.373303, 109840.491899, 77487.821462, 112078.213108, 77653.972585, 94265.124764, 0.000889, 0.228951, [67 66], [197 130], [56 116], [32 130]
 3, Novel, 18.217792, 18.953222, 79.325808, 81.206808, 49.425907, 76651.255188, 77359.790322, 77528.401648, 112029.221005, 85892.167041, 0.000558, , [190 53], [19 137], [173 33], [197 92]
 4, Sample, 76.168765, 80.706586, 58.028497, 82.893063, 74.449228, 57991.351794, 111848.505863, 58815.071581, 77546.524582, 76550.363455, 0.001023, 0.346469, [71 112], [4 181], [162 145], [106 200]
 4, Novel, 21.550645, 29.942122, 28.255872, 82.893063, 40.660425, 76572.669962, 111640.959790, 77289.914859, 77454.845149, 85739.597440, 0.000496, , [47 64], [76 156], [106 200], [81 19]
 5, Sample, 82.893063, 77.826501, 58.028497, 82.893063, 75.410281, 109840.491899, 77432.850556, 58815.071581, 77546.524582, 80908.734655, 0.000954, 0.257659, [67 66], [102 106], [162 145], [106 200]
 5, Novel, 76.666067, 82.893063, 14.894338, 19.595895, 48.512341, 76467.763091, 111786.843199, 58570.942979, 77270.044534, 81023.898451, 0.000563, , [158 4], [3 21], [187 1], [164 70]
 6, Sample, 79.608154, 75.022231, 82.893063, 75.060099, 78.145887, 76581.543813, 58615.170888, 111953.338956, 58864.954797, 76503.752113, 0.001084, 0.304985, [125 38], [67 157], [116 188], [119 33]
 6, Novel, 20.501627, 82.893063, 28.255872, 15.402602, 36.763291, 76327.298993, 58716.478135, 77289.914859, 58607.797371, 67735.372340, 0.000577, , [138 73], [144 66], [106 200], [80 60]
 7, Sample, 78.742629, 82.893063, 79.325808, 82.893063, 80.963641, 76723.308464, 58716.478135, 77528.401648, 77454.845149, 72605.758349, 0.001133, 0.494425, [51 37], [144 66], [173 33], [81 19]
