Experiment:, list12,,,,,,,,
Stimuli for Condition 1:,,,,,,,,,
Stim Pair 1:Sample: , [ 0.333 0.333, 0.667 0.950, 0.050 0.950, 0.667 0.333 ],Novel: , [ 0.950 0.050, 0.050 0.050, 0.333 0.950, 0.050 0.333 ] 
Stim Pair 2:Sample: , [ 0.333 0.950, 0.667 0.950, 0.333 0.050, 0.333 0.333 ],Novel: , [ 0.050 0.050, 0.050 0.333, 0.950 0.950, 0.667 0.050 ] 
Stim Pair 3:Sample: , [ 0.667 0.333, 0.667 0.950, 0.333 0.667, 0.333 0.950 ],Novel: , [ 0.333 0.050, 0.950 0.333, 0.050 0.667, 0.333 0.333 ] 
Stim Pair 4:Sample: , [ 0.950 0.950, 0.667 0.333, 0.050 0.950, 0.667 0.950 ],Novel: , [ 0.050 0.333, 0.333 0.667, 0.950 0.667, 0.333 0.050 ] 
Stim Pair 5:Sample: , [ 0.667 0.333, 0.950 0.667, 0.050 0.950, 0.667 0.950 ],Novel: , [ 0.333 0.950, 0.333 0.333, 0.050 0.050, 0.667 0.050 ] 
Stim Pair 6:Sample: , [ 0.050 0.667, 0.050 0.050, 0.667 0.667, 0.050 0.950 ],Novel: , [ 0.667 0.950, 0.950 0.050, 0.950 0.667, 0.950 0.950 ] 
Stim Pair 7:Sample: , [ 0.667 0.050, 0.950 0.050, 0.050 0.667, 0.333 0.050 ],Novel: , [ 0.333 0.333, 0.050 0.950, 0.667 0.333, 0.950 0.333 ] 
Stim Pair 8:Sample: , [ 0.950 0.050, 0.333 0.950, 0.333 0.050, 0.950 0.667 ],Novel: , [ 0.667 0.950, 0.333 0.333, 0.050 0.050, 0.050 0.333 ] 
Stim Pair 9:Sample: , [ 0.333 0.667, 0.333 0.333, 0.667 0.667, 0.050 0.050 ],Novel: , [ 0.333 0.950, 0.667 0.050, 0.050 0.667, 0.050 0.950 ] 
Stim Pair 10:Sample: , [ 0.333 0.667, 0.050 0.333, 0.333 0.950, 0.333 0.050 ],Novel: , [ 0.950 0.050, 0.667 0.667, 0.667 0.950, 0.950 0.667 ] 
Stim Pair 11:Sample: , [ 0.667 0.333, 0.950 0.050, 0.333 0.950, 0.950 0.667 ],Novel: , [ 0.050 0.950, 0.050 0.667, 0.333 0.667, 0.050 0.333 ] 
Stim Pair 12:Sample: , [ 0.333 0.667, 0.333 0.333, 0.950 0.950, 0.950 0.667 ],Novel: , [ 0.667 0.050, 0.667 0.333, 0.333 0.050, 0.950 0.333 ] 

Stimuli for Condition 2:,,,,,,,,,
Stim Pair 1:Sample: , [ 0.333 0.050, 0.950 0.667, 0.333 0.950, 0.333 0.667 ],Novel: , [ 0.950 0.050, 0.667 0.667, 0.050 0.333, 0.950 0.333 ] 
Stim Pair 2:Sample: , [ 0.050 0.950, 0.667 0.050, 0.050 0.667, 0.050 0.050 ],Novel: , [ 0.950 0.950, 0.050 0.333, 0.950 0.667, 0.667 0.950 ] 
Stim Pair 3:Sample: , [ 0.950 0.667, 0.667 0.333, 0.667 0.050, 0.050 0.333 ],Novel: , [ 0.950 0.950, 0.333 0.950, 0.050 0.050, 0.667 0.667 ] 
Stim Pair 4:Sample: , [ 0.050 0.333, 0.950 0.050, 0.333 0.667, 0.950 0.950 ],Novel: , [ 0.050 0.050, 0.050 0.667, 0.667 0.667, 0.050 0.950 ] 
Stim Pair 5:Sample: , [ 0.333 0.950, 0.333 0.667, 0.050 0.950, 0.050 0.050 ],Novel: , [ 0.667 0.950, 0.950 0.950, 0.667 0.050, 0.950 0.050 ] 
Stim Pair 6:Sample: , [ 0.333 0.333, 0.050 0.333, 0.667 0.950, 0.333 0.667 ],Novel: , [ 0.950 0.950, 0.050 0.050, 0.667 0.333, 0.050 0.667 ] 
Stim Pair 7:Sample: , [ 0.050 0.950, 0.050 0.050, 0.667 0.667, 0.333 0.667 ],Novel: , [ 0.667 0.050, 0.050 0.667, 0.050 0.333, 0.950 0.950 ] 
Stim Pair 8:Sample: , [ 0.050 0.050, 0.667 0.667, 0.050 0.950, 0.950 0.667 ],Novel: , [ 0.950 0.333, 0.333 0.667, 0.667 0.050, 0.333 0.050 ] 
Stim Pair 9:Sample: , [ 0.950 0.667, 0.050 0.333, 0.667 0.333, 0.050 0.667 ],Novel: , [ 0.950 0.050, 0.333 0.950, 0.950 0.333, 0.667 0.950 ] 
