
Group Lesion
Experiment:, list18, 

Stim Condition:, 1, 
 Stim Pair 1:,Sample: , [ 0.333 0.050, 0.050 0.667, 0.050 0.333, 0.950 0.950 ],Novel: , [ 0.333 0.333, 0.950 0.333, 0.667 0.950, 0.050 0.050 ] Stim Pair 2:,Sample: , [ 0.050 0.667, 0.667 0.333, 0.333 0.050, 0.050 0.333 ],Novel: , [ 0.950 0.333, 0.950 0.667, 0.333 0.667, 0.333 0.333 ] Stim Pair 3:,Sample: , [ 0.950 0.050, 0.667 0.050, 0.050 0.050, 0.050 0.667 ],Novel: , [ 0.333 0.050, 0.667 0.950, 0.050 0.950, 0.050 0.333 ] Stim Pair 4:,Sample: , [ 0.050 0.333, 0.333 0.333, 0.667 0.050, 0.950 0.333 ],Novel: , [ 0.333 0.667, 0.333 0.050, 0.333 0.950, 0.050 0.667 ] Stim Pair 5:,Sample: , [ 0.333 0.333, 0.950 0.333, 0.333 0.050, 0.050 0.950 ],Novel: , [ 0.667 0.050, 0.950 0.667, 0.333 0.950, 0.050 0.333 ] Stim Pair 6:,Sample: , [ 0.050 0.950, 0.333 0.950, 0.050 0.667, 0.667 0.333 ],Novel: , [ 0.333 0.050, 0.050 0.333, 0.950 0.667, 0.667 0.050 ] Stim Pair 7:,Sample: , [ 0.050 0.050, 0.950 0.050, 0.667 0.050, 0.050 0.333 ],Novel: , [ 0.667 0.950, 0.333 0.050, 0.333 0.667, 0.950 0.667 ] Stim Pair 8:,Sample: , [ 0.050 0.950, 0.333 0.050, 0.667 0.050, 0.667 0.667 ],Novel: , [ 0.050 0.333, 0.667 0.333, 0.950 0.050, 0.050 0.667 ] Stim Pair 9:,Sample: , [ 0.667 0.950, 0.950 0.333, 0.333 0.333, 0.050 0.667 ],Novel: , [ 0.050 0.333, 0.667 0.333, 0.950 0.667, 0.050 0.050 ] Stim Pair 10:,Sample: , [ 0.333 0.333, 0.050 0.950, 0.050 0.333, 0.667 0.950 ],Novel: , [ 0.950 0.050, 0.333 0.050, 0.333 0.667, 0.050 0.050 ] Stim Pair 11:,Sample: , [ 0.333 0.950, 0.050 0.950, 0.950 0.333, 0.667 0.950 ],Novel: , [ 0.950 0.050, 0.333 0.050, 0.050 0.667, 0.050 0.333 ] Stim Pair 12:,Sample: , [ 0.050 0.333, 0.667 0.333, 0.333 0.950, 0.667 0.050 ],Novel: , [ 0.667 0.950, 0.950 0.667, 0.050 0.050, 0.050 0.950 ] Stim Pair 13:,Sample: , [ 0.050 0.667, 0.950 0.667, 0.333 0.333, 0.333 0.950 ],Novel: , [ 0.333 0.667, 0.667 0.667, 0.950 0.950, 0.050 0.950 ] Stim Pair 14:,Sample: , [ 0.950 0.667, 0.667 0.050, 0.950 0.950, 0.333 0.050 ],Novel: , [ 0.050 0.950, 0.667 0.950, 0.050 0.667, 0.950 0.050 ] Stim Pair 15:,Sample: , [ 0.667 0.050, 0.050 0.333, 0.950 0.950, 0.667 0.333 ],Novel: , [ 0.333 0.333, 0.050 0.950, 0.333 0.950, 0.950 0.667 ] Stim Pair 16:,Sample: , [ 0.667 0.050, 0.050 0.333, 0.950 0.333, 0.050 0.950 ],Novel: , [ 0.333 0.950, 0.050 0.050, 0.667 0.950, 0.950 0.050 ] Stim Pair 17:,Sample: , [ 0.050 0.950, 0.333 0.667, 0.333 0.333, 0.950 0.050 ],Novel: , [ 0.950 0.950, 0.667 0.050, 0.333 0.050, 0.667 0.333 ] Stim Pair 18:,Sample: , [ 0.050 0.333, 0.050 0.667, 0.050 0.950, 0.050 0.050 ],Novel: , [ 0.667 0.050, 0.333 0.333, 0.333 0.950, 0.667 0.667 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 76.258912, 82.893063, 82.893063, 75.251898, 79.324234, 76791.315548, 77373.629762, 77556.954857, 58646.478806, 72592.094743, 0.001104, 0.131715, [190 53], [171 31], [169 31], [80 60]
 1, Novel, 82.893063, 82.893063, 21.343846, 75.622740, 65.688178, 109917.002948, 77480.411689, 77323.213180, 58698.789940, 80854.854439, 0.000847, , [146 113], [19 137], [7 80], [178 20]
 2, Sample, 82.893063, 82.893063, 82.893063, 67.701727, 79.095229, 76674.661168, 111912.054015, 77491.669152, 77507.089765, 85896.368525, 0.000941, 0.345560, [125 38], [4 181], [118 62], [27 128]
 2, Novel, 19.825719, 77.826501, 33.765202, 29.550663, 40.242021, 76368.148828, 77388.998302, 111868.410860, 111896.591857, 94380.537462, 0.000458, , [170 160], [102 106], [56 116], [197 92]
 3, Sample, 76.505318, 82.893063, 75.107289, 82.893063, 79.349684, 58164.849900, 77509.177136, 58760.981905, 77661.444992, 68024.113483, 0.001183, 0.164159, [98 195], [102 78], [187 1], [157 151]
 3, Novel, 76.258912, 19.455141, 75.033951, 67.701727, 59.612433, 76791.315548, 77282.953105, 58713.086730, 77507.089765, 72573.611287, 0.000849, , [190 53], [197 130], [162 147], [27 128]
 4, Sample, 82.893063, 80.321653, 82.893063, 77.913439, 81.005305, 76809.662821, 111765.340812, 77417.185709, 77344.026316, 85834.053915, 0.000969, 0.072560, [47 64], [3 21], [40 92], [12 184]
 4, Novel, 28.260868, 78.695826, 78.171108, 82.893063, 67.005216, 109598.404590, 77395.224709, 77435.173185, 77661.444992, 85522.561869, 0.000838, , [176 122], [139 137], [44 126], [157 151]
 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109917.002948, 77480.411689, 77491.669152, 58909.974587, 80949.764594, 0.001075, 0.040083, [146 113], [19 137], [118 62], [119 33]
 5, Novel, 82.893063, 77.826501, 78.171108, 67.701727, 76.648100, 76704.626468, 77388.998302, 77435.173185, 77507.089765, 77258.971930, 0.000992, , [51 37], [102 106], [44 126], [27 128]
 6, Sample, 82.893063, 79.231632, 66.395937, 82.893063, 77.853424, 58224.142942, 77353.468700, 77465.002483, 111915.589742, 81239.550967, 0.001011, 0.087170, [183 138], [166 194], [171 35], [23 135]
 6, Novel, 76.258912, 82.893063, 25.820659, 77.212693, 65.546332, 76791.315548, 77357.634977, 77219.310323, 77370.098931, 77184.589945, 0.000849, , [190 53], [52 87], [90 103], [164 70]
 7, Sample, 75.741653, 75.388320, 82.893063, 67.701727, 75.431191, 58373.047882, 58743.409459, 77417.185709, 77507.089765, 68010.183204, 0.001131, 0.272698, [52 88], [144 66], [40 92], [27 128]
 7, Novel, 78.141203, 78.695826, 33.765202, 18.803025, 52.351314, 76314.744427, 77395.224709, 111868.410860, 77258.583650, 85709.240912, 0.000646, , [138 73], [139 137], [56 116], [96 149]
 8, Sample, 82.893063, 78.695826, 82.893063, 82.791255, 81.818302, 58224.142942, 77395.224709, 77417.185709, 111928.492417, 81241.261444, 0.001063, 0.138855, [183 138], [139 137], [40 92], [190 127]
 8, Novel, 82.893063, 82.893063, 19.144784, 82.893063, 66.955994, 76809.662821, 111912.054015, 58536.699625, 77661.444992, 81229.965364, 0.000804, , [47 64], [4 181], [18 135], [157 151]
 9, Sample, 78.141203, 82.893063, 82.893063, 82.893063, 81.705098, 76314.744427, 77480.411689, 112049.476431, 77661.444992, 85876.519385, 0.000975, 0.062415, [138 73], [19 137], [115 172], [157 151]
 9, Novel, 82.893063, 82.893063, 25.820659, 75.622740, 66.807381, 76809.662821, 111912.054015, 77219.310323, 58698.789940, 81159.954275, 0.000861, , [47 64], [4 181], [90 103], [178 20]
 10, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109917.002948, 58676.500684, 77556.954857, 77521.228747, 80917.921809, 0.001076, 0.046514, [146 113], [118 178], [169 31], [106 200]
