
Perirhinal Layer, 24-D input stimuli
Experiment:, list18, 
Stim Condition:, 1, 
 Stimulus Set 1:
Sample 1, [ 0.333 0.050, 0.050 0.667, 0.050 0.333, 0.950 0.950 ],Novel 1, [ 0.333 0.333, 0.950 0.333, 0.667 0.950, 0.050 0.050 ] Sample 2, [ 0.050 0.667, 0.667 0.333, 0.333 0.050, 0.050 0.333 ],Novel 2, [ 0.950 0.333, 0.950 0.667, 0.333 0.667, 0.333 0.333 ] Sample 3, [ 0.950 0.050, 0.667 0.050, 0.050 0.050, 0.050 0.667 ],Novel 3, [ 0.333 0.050, 0.667 0.950, 0.050 0.950, 0.050 0.333 ] Sample 4, [ 0.050 0.333, 0.333 0.333, 0.667 0.050, 0.950 0.333 ],Novel 4, [ 0.333 0.667, 0.333 0.050, 0.333 0.950, 0.050 0.667 ] Sample 5, [ 0.333 0.333, 0.950 0.333, 0.333 0.050, 0.050 0.950 ],Novel 5, [ 0.667 0.050, 0.950 0.667, 0.333 0.950, 0.050 0.333 ] Sample 6, [ 0.050 0.950, 0.333 0.950, 0.050 0.667, 0.667 0.333 ],Novel 6, [ 0.333 0.050, 0.050 0.333, 0.950 0.667, 0.667 0.050 ] Sample 7, [ 0.050 0.050, 0.950 0.050, 0.667 0.050, 0.050 0.333 ],Novel 7, [ 0.667 0.950, 0.333 0.050, 0.333 0.667, 0.950 0.667 ] Sample 8, [ 0.050 0.950, 0.333 0.050, 0.667 0.050, 0.667 0.667 ],Novel 8, [ 0.050 0.333, 0.667 0.333, 0.950 0.050, 0.050 0.667 ] Sample 9, [ 0.667 0.950, 0.950 0.333, 0.333 0.333, 0.050 0.667 ],Novel 9, [ 0.050 0.333, 0.667 0.333, 0.950 0.667, 0.050 0.050 ] Sample 10, [ 0.333 0.950, 0.050 0.950, 0.050 0.333, 0.667 0.950 ],Novel 10, [ 0.950 0.050, 0.333 0.050, 0.050 0.667, 0.050 0.050 ] Sample 11, [ 0.333 0.950, 0.050 0.950, 0.050 0.333, 0.667 0.950 ],Novel 11, [ 0.950 0.050, 0.333 0.050, 0.050 0.667, 0.050 0.050 ] Sample 12, [ 0.050 0.333, 0.667 0.333, 0.333 0.950, 0.667 0.050 ],Novel 12, [ 0.667 0.950, 0.950 0.667, 0.050 0.050, 0.050 0.950 ] Sample 13, [ 0.050 0.667, 0.950 0.667, 0.333 0.333, 0.333 0.950 ],Novel 13, [ 0.333 0.667, 0.667 0.667, 0.950 0.950, 0.050 0.950 ] Sample 14, [ 0.950 0.667, 0.667 0.050, 0.950 0.950, 0.333 0.050 ],Novel 14, [ 0.050 0.950, 0.667 0.950, 0.050 0.667, 0.950 0.050 ] Sample 15, [ 0.667 0.050, 0.050 0.333, 0.950 0.950, 0.667 0.333 ],Novel 15, [ 0.333 0.333, 0.050 0.950, 0.333 0.950, 0.950 0.667 ] Sample 16, [ 0.667 0.050, 0.050 0.333, 0.950 0.333, 0.050 0.950 ],Novel 16, [ 0.333 0.950, 0.050 0.050, 0.667 0.950, 0.950 0.050 ] Sample 17, [ 0.050 0.950, 0.333 0.667, 0.333 0.333, 0.950 0.050 ],Novel 17, [ 0.950 0.950, 0.667 0.050, 0.333 0.050, 0.667 0.333 ] Sample 18, [ 0.050 0.333, 0.050 0.667, 0.050 0.950, 0.050 0.050 ],Novel 18, [ 0.667 0.050, 0.333 0.333, 0.333 0.950, 0.667 0.667 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 1, 1, Sample, 82.893063, 68661.403478, 0.001207, 0.667514, [167 130]
 1, 1, Novel, 17.769278, 73817.802262, 0.000241,, [189 127]
 1, 2, Sample, 52.188428, 79933.882143, 0.000653, 0.461254, [195 4]
 1, 2, Novel, 20.801444, 86415.467289, 0.000241,, [89 146]
 1, 3, Sample, 82.893063, 64145.982315, 0.001292, 0.681864, [48 121]
 1, 3, Novel, 16.768704, 68600.703300, 0.000244,, [90 49]
 1, 4, Sample, 82.893063, 79850.745359, 0.001038, 0.609284, [62 103]
 1, 4, Novel, 20.087168, 79698.548723, 0.000252,, [87 44]
 1, 5, Sample, 46.719550, 73833.259865, 0.000633, 0.468830, [54 103]
 1, 5, Novel, 16.860475, 73682.055558, 0.000229,, [115 70]
 1, 6, Sample, 43.229973, 73901.799269, 0.000585, 0.208377, [108 143]
 1, 6, Novel, 28.283932, 73806.347029, 0.000383,, [153 29]
 1, 7, Sample, 82.893063, 64276.185405, 0.001290, 0.680375, [194 199]
 1, 7, Novel, 19.521169, 79579.931400, 0.000245,, [125 147]
 1, 8, Sample, 82.893063, 73985.548995, 0.001120, 0.527160, [164 38]
 1, 8, Novel, 25.620861, 73857.225645, 0.000347,, [192 1]
 1, 9, Sample, 82.893063, 79805.285773, 0.001039, 0.626089, [151 155]
 1, 9, Novel, 17.645162, 73878.014745, 0.000239,, [158 146]
 1, 10, Sample, 82.893063, 68801.611635, 0.001205, 0.664699, [90 178]
 1, 10, Novel, 15.549262, 64075.405470, 0.000243,, [75 2]
 1, 11, Sample, 82.893063, 68801.611635, 0.001205, 0.664699, [90 178]
 1, 11, Novel, 15.549262, 64075.405470, 0.000243,, [75 2]
 1, 12, Sample, 82.893063, 79847.878243, 0.001038, 0.420874, [172 34]
 1, 12, Novel, 27.110762, 64072.146533, 0.000423,, [152 154]
 1, 13, Sample, 82.893063, 79811.873845, 0.001039, 0.617876, [52 106]
 1, 13, Novel, 18.073404, 73676.762932, 0.000245,, [187 179]
 1, 14, Sample, 82.893063, 68691.852055, 0.001207, 0.434417, [117 180]
 1, 14, Novel, 30.515716, 64134.179994, 0.000476,, [107 141]
 1, 15, Sample, 82.893063, 73793.484429, 0.001123, 0.628252, [155 30]
 1, 15, Novel, 18.896264, 73679.750223, 0.000256,, [72 196]
 1, 16, Sample, 82.893063, 68665.286650, 0.001207, 0.651722, [157 84]
 1, 16, Novel, 16.313565, 64088.409948, 0.000255,, [143 73]
 1, 17, Sample, 82.893063, 74017.727640, 0.001120, 0.639020, [109 139]
 1, 17, Novel, 18.188958, 73744.020284, 0.000247,, [106 54]
 1, 18, Sample, 82.893063, 64272.991817, 0.001290, 0.666242, [31 150]
 1, 18, Novel, 22.322598, 86409.562979, 0.000258,, [2 24]
 2, 1, Sample, 82.893063, 68778.163500, 0.001205, 0.662760, [16 128]
 2, 1, Novel, 18.021231, 73723.852104, 0.000244,, [12 153]
 2, 2, Sample, 82.893063, 79812.692042, 0.001039, 0.617883, [180 71]
 2, 2, Novel, 21.204349, 86442.872116, 0.000245,, [181 124]
 2, 3, Sample, 82.893063, 64216.874584, 0.001291, 0.690883, [9 175]
 2, 3, Novel, 16.179421, 68562.075244, 0.000236,, [93 10]
 2, 4, Sample, 82.893063, 79808.672716, 0.001039, 0.611351, [2 73]
 2, 4, Novel, 19.970856, 79718.956647, 0.000251,, [114 51]
 2, 5, Sample, 41.925107, 73810.718517, 0.000568, 0.387978, [200 59]
