
Caudal Layer, 6-D input stimuli
Experiment:, list18,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 2, 
 Stimulus Set 1:
Sample 1, [ 0.950  0.950, 0.050  0.667, 0.050  0.950, 0.667  0.333 ],Novel 1, [ 0.950  0.667, 0.667  0.950, 0.333  0.333, 0.050  0.333 ] Sample 2, [ 0.950  0.333, 0.667  0.050, 0.333  0.050, 0.333  0.667 ],Novel 2, [ 0.050  0.333, 0.050  0.050, 0.333  0.950, 0.950  0.050 ] Sample 3, [ 0.333  0.050, 0.333  0.950, 0.667  0.333, 0.050  0.050 ],Novel 3, [ 0.950  0.050, 0.333  0.333, 0.667  0.950, 0.667  0.050 ] Sample 4, [ 0.667  0.667, 0.950  0.333, 0.333  0.950, 0.667  0.050 ],Novel 4, [ 0.950  0.050, 0.333  0.333, 0.667  0.333, 0.050  0.950 ] Sample 5, [ 0.950  0.050, 0.333  0.667, 0.050  0.667, 0.950  0.950 ],Novel 5, [ 0.050  0.050, 0.667  0.050, 0.333  0.050, 0.950  0.667 ] Sample 6, [ 0.667  0.333, 0.667  0.950, 0.950  0.333, 0.050  0.333 ],Novel 6, [ 0.667  0.667, 0.333  0.950, 0.050  0.667, 0.950  0.667 ] Sample 7, [ 0.050  0.667, 0.950  0.667, 0.050  0.333, 0.950  0.950 ],Novel 7, [ 0.667  0.050, 0.333  0.333, 0.050  0.050, 0.667  0.950 ] Sample 8, [ 0.333  0.333, 0.333  0.667, 0.950  0.667, 0.050  0.950 ],Novel 8, [ 0.050  0.667, 0.050  0.050, 0.667  0.950, 0.667  0.050 ] Sample 9, [ 0.667  0.333, 0.667  0.050, 0.950  0.667, 0.333  0.333 ],Novel 9, [ 0.333  0.050, 0.950  0.050, 0.667  0.950, 0.333  0.950 ] Sample 10, [ 0.950  0.667, 0.950  0.050, 0.950  0.333, 0.050  0.667 ],Novel 10, [ 0.950  0.950, 0.667  0.333, 0.050  0.050, 0.333  0.050 ] Sample 11, [ 0.050  0.667, 0.667  0.667, 0.667  0.950, 0.050  0.050 ],Novel 11, [ 0.667  0.333, 0.950  0.950, 0.050  0.950, 0.333  0.333 ] Sample 12, [ 0.667  0.333, 0.333  0.667, 0.050  0.667, 0.333  0.950 ],Novel 12, [ 0.950  0.950, 0.333  0.050, 0.667  0.050, 0.050  0.050 ] Sample 13, [ 0.950  0.950, 0.950  0.333, 0.333  0.667, 0.333  0.950 ],Novel 13, [ 0.050  0.333, 0.050  0.050, 0.667  0.050, 0.050  0.950 ] Sample 14, [ 0.050  0.950, 0.050  0.667, 0.050  0.050, 0.950  0.050 ],Novel 14, [ 0.333  0.667, 0.950  0.333, 0.050  0.333, 0.950  0.950 ] Sample 15, [ 0.667  0.333, 0.050  0.950, 0.950  0.050, 0.667  0.667 ],Novel 15, [ 0.333  0.050, 0.050  0.667, 0.050  0.333, 0.050  0.050 ] Sample 16, [ 0.050  0.050, 0.333  0.333, 0.950  0.050, 0.950  0.333 ],Novel 16, [ 0.667  0.050, 0.333  0.950, 0.050  0.333, 0.333  0.667 ] Sample 17, [ 0.333  0.333, 0.667  0.050, 0.050  0.050, 0.667  0.333 ],Novel 17, [ 0.950  0.950, 0.050  0.667, 0.950  0.333, 0.667  0.667 ] Sample 18, [ 0.050  0.950, 0.667  0.333, 0.333  0.950, 0.950  0.667 ],Novel 18, [ 0.950  0.333, 0.050  0.333, 0.950  0.950, 0.050  0.050 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58102.968228, 77551.538792, 58738.035166, 112138.157019, 76632.674801, 0.001161, 0.141689, [151 67], [54 98], [89 29], [135 98]
 1, 1, Novel, 82.893063, 82.893063, 29.972070, 82.893063, 69.662815, 76484.766552, 77437.070507, 111631.506208, 77465.619881, 85754.740787, 0.000873, , [57 119], [159 102], [188 162], [187 11]
 1, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76623.083286, 77495.246433, 77370.901219, 111830.244149, 85829.868772, 0.000991, 0.136614, [46 25], [170 194], [173 183], [27 27]
 1, 2, Novel, 20.112391, 15.831757, 82.893063, 82.893063, 50.432569, 76573.057733, 58487.482485, 77522.679322, 58849.500288, 67858.179957, 0.000753, , [153 142], [106 115], [31 167], [196 16]
 1, 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76808.899931, 77528.314961, 111923.529340, 58776.754093, 81259.374581, 0.001075, -0.000453, [162 102], [148 99], [12 200], [178 136]
 1, 3, Novel, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58294.623883, 111723.397373, 77436.034924, 77554.170543, 81252.056681, 0.001076, , [106 77], [188 46], [138 102], [36 29]
 1, 4, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109454.798869, 77482.767473, 77522.679322, 77554.170543, 85503.604052, 0.000991, -0.005712, [108 63], [10 151], [31 167], [36 29]
 1, 4, Novel, 82.893063, 82.893063, 82.893063, 64.856768, 78.383989, 58294.623883, 111723.397373, 111923.529340, 58625.509960, 85141.765139, 0.001003, , [106 77], [188 46], [12 200], [85 25]
 1, 5, Sample, 82.893063, 77.344723, 82.893063, 82.893063, 81.505978, 58294.623883, 111993.603338, 77476.966457, 58815.374153, 76645.141958, 0.001148, -0.004167, [106 77], [60 94], [145 108], [74 195]
 1, 5, Novel, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58346.728234, 77495.246433, 77370.901219, 77573.903017, 72696.694726, 0.001158, , [137 41], [170 194], [173 183], [54 172]
 1, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109866.362639, 77437.070507, 77570.019591, 77465.619881, 85584.768154, 0.000991, -0.000172, [92 22], [159 102], [74 36], [187 11]
 1, 6, Novel, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109454.798869, 77528.314961, 77476.966457, 77573.903017, 85508.495826, 0.000991, , [108 63], [148 99], [145 108], [54 172]
 1, 7, Sample, 82.893063, 53.080170, 82.893063, 82.893063, 75.439840, 76562.533808, 77332.821796, 77348.233392, 58815.374153, 72514.740787, 0.001063, 0.220381, [197 107], [70 188], [89 144], [74 195]
 1, 7, Novel, 22.736615, 82.893063, 82.893063, 20.468920, 52.247915, 76680.376801, 111723.397373, 58706.581345, 77336.129308, 81111.621207, 0.000679, , [97 148], [188 46], [64 123], [113 142]
 1, 8, Sample, 82.893063, 77.344723, 82.893063, 64.856768, 76.996904, 109874.120699, 111993.603338, 77540.355377, 58625.509960, 89508.397343, 0.000905, 0.017952, [38 90], [60 94], [73 196], [85 25]
 1, 8, Novel, 82.893063, 15.831757, 82.893063, 82.893063, 66.127737, 76562.533808, 58487.482485, 77436.034924, 77554.170543, 72510.055440, 0.000873, , [197 107], [106 115], [138 102], [36 29]
 1, 9, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109866.362639, 77495.246433, 77540.355377, 111929.209935, 94207.793596, 0.000908, -0.120702, [92 22], [170 194], [73 196], [182 170]
 1, 9, Novel, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76808.899931, 58736.478860, 77436.034924, 77439.482354, 72605.224017, 0.001158, , [162 102], [149 170], [138 102], [88 29]
 1, 10, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76484.766552, 58736.478860, 77570.019591, 77406.206311, 72549.367828, 0.001159, 0.092314, [57 119], [149 170], [74 36], [121 90]
 1, 10, Novel, 82.893063, 82.893063, 82.893063, 20.996127, 67.418829, 58102.968228, 111832.947483, 58706.581345, 77380.089810, 76505.646716, 0.000963, , [151 67], [21 8], [64 123], [173 183]
 1, 11, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76562.533808, 111760.371385, 77436.034924, 58776.754093, 81133.923553, 0.001076, 0.149483, [197 107], [72 192], [138 102], [178 136]
 1, 11, Novel, 82.893063, 16.356185, 82.893063, 82.893063, 66.258844, 109866.362639, 58595.681462, 58738.035166, 111929.209935, 84782.322300, 0.000796, , [92 22], [44 11], [89 29], [182 170]
 1, 12, Sample, 82.893063, 77.344723, 82.893063, 82.893063, 81.505978, 109866.362639, 111993.603338, 77476.966457, 77439.482354, 94194.103697, 0.000896, 0.022831, [92 22], [60 94], [145 108], [88 29]
 1, 12, Novel, 82.893063, 21.645943, 23.833966, 82.893063, 52.816509, 58102.968228, 77213.579876, 77363.909059, 58776.754093, 67864.302814, 0.000856, , [151 67], [170 83], [130 90], [178 136]
 1, 13, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58102.968228, 77482.767473, 111869.950149, 77439.482354, 81223.792051, 0.001077, 0.377291, [151 67], [10 151], [87 58], [88 29]
 1, 13, Novel, 20.112391, 15.831757, 23.833966, 64.856768, 31.158720, 76573.057733, 58487.482485, 77363.909059, 58625.509960, 67762.489809, 0.000487, , [153 142], [106 115], [130 90], [85 25]
 1, 14, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58153.874201, 77551.538792, 58706.581345, 58849.500288, 63315.373657, 0.001329, 0.164848, [156 10], [54 98], [64 123], [196 16]
 1, 14, Novel, 28.392861, 82.893063, 82.893063, 82.893063, 69.268013, 109352.575153, 77482.767473, 77348.233392, 58815.374153, 80749.737543, 0.000953, , [155 184], [10 151], [89 144], [74 195]
 1, 15, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109866.362639, 58810.396869, 58814.944031, 111972.595093, 84866.074658, 0.001078, -0.035377, [92 22], [142 186], [58 165], [38 174]
 1, 15, Novel, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76808.899931, 77551.538792, 77348.233392, 58776.754093, 72621.356552, 0.001158, , [162 102], [54 98], [89 144], [178 136]
 1, 16, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58346.728234, 111723.397373, 58814.944031, 77634.699027, 76629.942166, 0.001160, 0.186884, [137 41], [188 46], [58 165], [63 151]
 1, 16, Novel, 22.736615, 82.893063, 82.893063, 82.893063, 67.853951, 76680.376801, 77528.314961, 77348.233392, 111830.244149, 85846.792326, 0.000795, , [97 148], [148 99], [89 144], [27 27]
 1, 17, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109874.120699, 77495.246433, 58706.581345, 112138.157019, 89553.526374, 0.000994, -0.039756, [38 90], [170 194], [64 123], [135 98]
