
Group Lesion
Experiment:, list18, 
Stim Pair 1:,Sample: , [ 0.950 0.667, 0.667 0.950, 0.050 0.667, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.050 0.950, 0.333 0.050, 0.667 0.667 ] Stim Pair 2:,Sample: , [ 0.333 0.050, 0.333 0.950, 0.050 0.333, 0.950 0.950 ],Novel: , [ 0.667 0.333, 0.333 0.667, 0.667 0.050, 0.333 0.333 ] Stim Pair 3:,Sample: , [ 0.333 0.667, 0.667 0.950, 0.667 0.333, 0.950 0.050 ],Novel: , [ 0.667 0.050, 0.667 0.667, 0.050 0.950, 0.333 0.950 ] Stim Pair 4:,Sample: , [ 0.950 0.050, 0.050 0.050, 0.667 0.333, 0.050 0.333 ],Novel: , [ 0.333 0.050, 0.667 0.667, 0.333 0.950, 0.667 0.333 ] Stim Pair 5:,Sample: , [ 0.333 0.667, 0.333 0.050, 0.950 0.333, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.950 0.950, 0.667 0.950, 0.050 0.333 ] Stim Pair 6:,Sample: , [ 0.333 0.950, 0.667 0.050, 0.050 0.950, 0.667 0.667 ],Novel: , [ 0.333 0.333, 0.950 0.950, 0.667 0.950, 0.333 0.667 ] Stim Pair 7:,Sample: , [ 0.050 0.333, 0.333 0.667, 0.667 0.950, 0.950 0.050 ],Novel: , [ 0.050 0.667, 0.333 0.950, 0.050 0.050, 0.667 0.667 ] Stim Pair 8:,Sample: , [ 0.950 0.950, 0.333 0.050, 0.333 0.333, 0.050 0.950 ],Novel: , [ 0.667 0.333, 0.333 0.667, 0.950 0.050, 0.667 0.950 ] Stim Pair 9:,Sample: , [ 0.333 0.950, 0.050 0.950, 0.050 0.050, 0.950 0.667 ],Novel: , [ 0.333 0.333, 0.050 0.667, 0.950 0.950, 0.667 0.050 ] Stim Pair 10:,Sample: , [ 0.050 0.333, 0.667 0.050, 0.950 0.333, 0.667 0.667 ],Novel: , [ 0.950 0.050, 0.667 0.333, 0.050 0.950, 0.667 0.950 ] Stim Pair 11:,Sample: , [ 0.667 0.333, 0.667 0.050, 0.050 0.950, 0.050 0.333 ],Novel: , [ 0.333 0.333, 0.333 0.050, 0.950 0.667, 0.667 0.667 ] Stim Pair 12:,Sample: , [ 0.950 0.950, 0.050 0.950, 0.667 0.333, 0.050 0.667 ],Novel: , [ 0.050 0.050, 0.333 0.950, 0.667 0.050, 0.333 0.050 ] Stim Pair 13:,Sample: , [ 0.050 0.050, 0.333 0.950, 0.667 0.050, 0.333 0.050 ],Novel: , [ 0.667 0.950, 0.333 0.667, 0.950 0.667, 0.050 0.333 ] Stim Pair 14:,Sample: , [ 0.333 0.333, 0.667 0.333, 0.950 0.950, 0.333 0.950 ],Novel: , [ 0.333 0.050, 0.950 0.667, 0.950 0.050, 0.050 0.050 ] Stim Pair 15:,Sample: , [ 0.950 0.050, 0.667 0.950, 0.050 0.333, 0.333 0.050 ],Novel: , [ 0.050 0.050, 0.950 0.667, 0.333 0.950, 0.667 0.333 ] Stim Pair 16:,Sample: , [ 0.050 0.950, 0.667 0.667, 0.667 0.333, 0.950 0.333 ],Novel: , [ 0.333 0.950, 0.050 0.950, 0.333 0.333, 0.667 0.050 ] Stim Pair 17:,Sample: , [ 0.950 0.050, 0.950 0.950, 0.050 0.667, 0.050 0.050 ],Novel: , [ 0.333 0.050, 0.667 0.050, 0.950 0.667, 0.333 0.667 ] Stim Pair 18:,Sample: , [ 0.333 0.950, 0.667 0.050, 0.667 0.950, 0.050 0.950 ],Novel: , [ 0.333 0.333, 0.667 0.950, 0.050 0.050, 0.950 0.050 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 76.964263, 82.893063, 82.893063, 82.893063, 81.410863, 76483.177385, 77467.514512, 77581.875297, 58700.235856, 72558.200762, 0.001139, 0.086775, [28 49], [124 68], [46 196], [199 126]
 1, Novel, 82.893063, 82.893063, 19.492775, 82.893063, 67.042991, 58219.392363, 58633.836092, 77339.827293, 112073.549486, 76566.651308, 0.000957, , [42 107], [160 93], [150 118], [167 160]
 2, Sample, 78.397630, 82.893063, 82.893063, 76.400842, 80.146150, 76648.834844, 77378.708355, 77537.888542, 58770.033425, 72583.866292, 0.001116, 0.238707, [15 79], [163 166], [5 13], [70 197]
 2, Novel, 80.466494, 81.677499, 77.196974, 31.184869, 67.631459, 109634.053967, 111592.932488, 77348.229327, 111748.634841, 102580.962656, 0.000686, , [90 169], [13 170], [21 24], [24 45]
 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109650.077488, 77467.514512, 111941.869661, 58664.971987, 89431.108412, 0.000995, 0.074064, [171 23], [124 68], [187 101], [121 142]
 3, Novel, 19.858945, 81.472794, 82.893063, 80.113900, 66.084675, 76555.833129, 111760.897121, 58816.644002, 77559.398642, 81173.193224, 0.000858, , [82 159], [109 7], [48 59], [48 61]
 4, Sample, 82.893063, 75.096102, 82.893063, 82.893063, 80.943823, 58219.392363, 58523.839123, 111941.869661, 77424.467629, 76527.392194, 0.001130, 0.331051, [42 107], [142 167], [187 101], [5 17]
 4, Novel, 78.397630, 81.472794, 21.034319, 27.644961, 52.137426, 76648.834844, 111760.897121, 77446.034142, 111802.368417, 94414.533631, 0.000568, , [15 79], [109 7], [13 45], [9 113]
 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109650.077488, 77270.933915, 77416.465137, 58700.235856, 80759.428099, 0.001078, -0.064345, [171 23], [144 95], [179 103], [199 126]
 5, Novel, 82.893063, 78.729918, 82.893063, 82.893063, 81.852277, 58219.392363, 58727.563925, 77498.793316, 77424.467629, 67967.554308, 0.001226, , [42 107], [35 80], [95 132], [5 17]
 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76572.895056, 77386.195814, 58816.644002, 112073.549486, 81212.321089, 0.001076, 0.114184, [196 103], [151 60], [48 59], [167 160]
 6, Novel, 80.937340, 78.729918, 82.893063, 30.590632, 68.287739, 109759.397344, 58727.563925, 77498.793316, 111981.184224, 89491.734702, 0.000855, , [180 9], [35 80], [95 132], [158 126]
 7, Sample, 82.893063, 81.677499, 82.893063, 82.893063, 82.589172, 76587.927412, 111592.932488, 77498.793316, 58664.971987, 81086.156301, 0.001074, 0.122259, [75 199], [13 170], [95 132], [121 142]
 7, Novel, 19.230063, 82.893063, 76.215696, 82.893063, 65.307972, 76445.122791, 77378.708355, 58708.740744, 112073.549486, 81151.530344, 0.000840, , [183 118], [163 166], [199 127], [167 160]
 8, Sample, 82.893063, 82.893063, 80.309519, 82.893063, 82.247177, 58153.129903, 77270.933915, 111942.863190, 58806.652721, 76543.394932, 0.001156, 0.378920, [143 74], [144 95], [112 31], [53 58]
 8, Novel, 80.466494, 81.677499, 14.945975, 28.056054, 51.286505, 109634.053967, 111592.932488, 58555.127815, 77479.648999, 89315.440817, 0.000521, , [90 169], [13 170], [115 71], [71 199]
 9, Sample, 82.893063, 82.893063, 76.215696, 77.187256, 79.797270, 76572.895056, 58633.836092, 58708.740744, 77509.945172, 67856.354266, 0.001198, 0.292638, [196 103], [160 93], [199 127], [141 101]
 9, Novel, 80.937340, 22.007604, 75.522452, 24.116929, 50.646081, 109759.397344, 77180.899771, 58695.063307, 77265.408146, 80725.192142, 0.000655, , [180 9], [165 148], [189 22], [152 117]
 10, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76587.927412, 77386.195814, 77416.465137, 112073.549486, 85866.034462, 0.000991, 0.005359, [75 199], [151 60], [179 103], [167 160]
 10, Novel, 82.893063, 81.115519, 82.893063, 28.056054, 68.739425, 58219.392363, 111676.696771, 58816.644002, 77479.648999, 76548.095534, 0.000980, , [42 107], [163 56], [48 59], [71 199]
 11, Sample, 80.466494, 82.893063, 82.893063, 82.893063, 82.286421, 109634.053967, 77386.195814, 58816.644002, 77424.467629, 80815.340353, 0.001071, 0.208831, [90 169], [151 60], [48 59], [5 17]
 11, Novel, 80.937340, 82.893063, 19.708335, 82.893063, 66.607950, 109759.397344, 77270.933915, 77360.233311, 112073.549486, 94116.028514, 0.000701, , [180 9], [144 95], [199 139], [167 160]
 12, Sample, 82.893063, 82.893063, 82.893063, 76.034687, 81.178469, 58153.129903, 58633.836092, 111941.869661, 77483.760214, 76553.148967, 0.001140, 0.013563, [143 74], [160 93], [187 101], [91 84]
 12, Novel, 75.569717, 82.893063, 77.196974, 82.893063, 79.638204, 58214.051895, 77378.708355, 77348.229327, 77364.526851, 72576.379107, 0.001110, , [134 179], [163 166], [21 24], [79 113]
 13, Sample, 75.569717, 82.893063, 77.196974, 82.893063, 79.638204, 58214.051895, 77378.708355, 77348.229327, 77364.526851, 72576.379107, 0.001110, 0.318005, [134 179], [163 166], [21 24], [79 113]
 13, Novel, 18.316658, 81.677499, 19.708335, 82.893063, 50.648889, 76455.626109, 111592.932488, 77360.233311, 77424.467629, 85708.314884, 0.000574, , [5 127], [13 170], [199 139], [5 17]
 14, Sample, 80.937340, 81.115519, 75.522452, 80.113900, 79.422303, 109759.397344, 111676.696771, 58695.063307, 77559.398642, 89422.639016, 0.000946, 0.104241, [180 9], [163 56], [189 22], [48 61]
 14, Novel, 78.397630, 29.308535, 14.945975, 82.893063, 51.386301, 76648.834844, 77358.115597, 58555.127815, 58700.235856, 67815.578528, 0.000767, , [15 79], [36 77], [115 71], [199 126]
 15, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58219.392363, 77467.514512, 77537.888542, 77364.526851, 72647.330567, 0.001159, 0.357015, [42 107], [124 68], [5 13], [79 113]
 15, Novel, 75.569717, 29.308535, 21.034319, 27.644961, 38.389383, 58214.051895, 77358.115597, 77446.034142, 111802.368417, 81205.142513, 0.000549, , [134 179], [36 77], [13 45], [9 113]
 16, Sample, 75.698375, 81.472794, 82.893063, 77.089122, 79.288338, 58128.890221, 111760.897121, 111941.869661, 77434.623907, 89816.570228, 0.000942, 0.033107, [138 63], [109 7], [187 101], [53 159]
 16, Novel, 82.893063, 82.893063, 80.309519, 24.116929, 67.553144, 76572.895056, 58633.836092, 111942.863190, 77265.408146, 81103.750621, 0.000881, , [196 103], [160 93], [112 31], [152 117]
 17, Sample, 82.893063, 78.729918, 82.893063, 82.893063, 81.852277, 58219.392363, 58727.563925, 77581.875297, 58700.235856, 63307.266860, 0.001311, 0.333433, [42 107], [35 80], [46 196], [199 126]
 17, Novel, 78.397630, 82.893063, 19.708335, 30.590632, 52.897415, 76648.834844, 77386.195814, 77360.233311, 111981.184224, 85844.112048, 0.000655, , [15 79], [151 60], [199 139], [158 126]
 18, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76572.895056, 77386.195814, 77498.793316, 58806.652721, 72566.134227, 0.001158, 0.012485, [196 103], [151 60], [95 132], [53 58]
 18, Novel, 80.937340, 82.893063, 76.215696, 82.893063, 80.734791, 109759.397344, 77467.514512, 58708.740744, 58664.971987, 76150.156147, 0.001130, , [180 9], [124 68], [199 127], [121 142]
