
Caudal Layer, 6-D input stimuli
Experiment:, list18,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 1, 
 Stimulus Set 1:
Sample 1, [ 0.333  0.050, 0.050  0.667, 0.050  0.333, 0.950  0.950 ],Novel 1, [ 0.333  0.333, 0.950  0.333, 0.667  0.950, 0.050  0.050 ] Sample 2, [ 0.050  0.667, 0.667  0.333, 0.333  0.050, 0.050  0.333 ],Novel 2, [ 0.950  0.333, 0.950  0.667, 0.333  0.667, 0.333  0.333 ] Sample 3, [ 0.950  0.050, 0.667  0.050, 0.050  0.050, 0.050  0.667 ],Novel 3, [ 0.333  0.050, 0.667  0.950, 0.050  0.950, 0.050  0.333 ] Sample 4, [ 0.050  0.333, 0.333  0.333, 0.667  0.050, 0.950  0.333 ],Novel 4, [ 0.333  0.667, 0.333  0.050, 0.333  0.950, 0.050  0.667 ] Sample 5, [ 0.333  0.333, 0.950  0.333, 0.333  0.050, 0.050  0.950 ],Novel 5, [ 0.667  0.050, 0.950  0.667, 0.333  0.950, 0.050  0.333 ] Sample 6, [ 0.050  0.950, 0.333  0.950, 0.050  0.667, 0.667  0.333 ],Novel 6, [ 0.333  0.050, 0.050  0.333, 0.950  0.667, 0.667  0.050 ] Sample 7, [ 0.050  0.050, 0.950  0.050, 0.667  0.050, 0.050  0.333 ],Novel 7, [ 0.667  0.950, 0.333  0.050, 0.333  0.667, 0.950  0.667 ] Sample 8, [ 0.050  0.950, 0.333  0.050, 0.667  0.050, 0.667  0.667 ],Novel 8, [ 0.050  0.333, 0.667  0.333, 0.950  0.050, 0.050  0.667 ] Sample 9, [ 0.667  0.950, 0.950  0.333, 0.333  0.333, 0.050  0.667 ],Novel 9, [ 0.050  0.333, 0.667  0.333, 0.950  0.667, 0.050  0.050 ] Sample 10, [ 0.333  0.950, 0.050  0.950, 0.050  0.333, 0.667  0.950 ],Novel 10, [ 0.950  0.050, 0.333  0.050, 0.050  0.667, 0.050  0.050 ] Sample 11, [ 0.333  0.950, 0.050  0.950, 0.050  0.333, 0.667  0.950 ],Novel 11, [ 0.950  0.050, 0.333  0.050, 0.050  0.667, 0.050  0.050 ] Sample 12, [ 0.050  0.333, 0.667  0.333, 0.333  0.950, 0.667  0.050 ],Novel 12, [ 0.667  0.950, 0.950  0.667, 0.050  0.050, 0.050  0.950 ] Sample 13, [ 0.050  0.667, 0.950  0.667, 0.333  0.333, 0.333  0.950 ],Novel 13, [ 0.333  0.667, 0.667  0.667, 0.950  0.950, 0.050  0.950 ] Sample 14, [ 0.950  0.667, 0.667  0.050, 0.950  0.950, 0.333  0.050 ],Novel 14, [ 0.050  0.950, 0.667  0.950, 0.050  0.667, 0.950  0.050 ] Sample 15, [ 0.667  0.050, 0.050  0.333, 0.950  0.950, 0.667  0.333 ],Novel 15, [ 0.333  0.333, 0.050  0.950, 0.333  0.950, 0.950  0.667 ] Sample 16, [ 0.667  0.050, 0.050  0.333, 0.950  0.333, 0.050  0.950 ],Novel 16, [ 0.333  0.950, 0.050  0.050, 0.667  0.950, 0.950  0.050 ] Sample 17, [ 0.050  0.950, 0.333  0.667, 0.333  0.333, 0.950  0.050 ],Novel 17, [ 0.950  0.950, 0.667  0.050, 0.333  0.050, 0.667  0.333 ] Sample 18, [ 0.050  0.333, 0.050  0.667, 0.050  0.950, 0.050  0.050 ],Novel 18, [ 0.667  0.050, 0.333  0.333, 0.333  0.950, 0.667  0.667 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76849.200210, 77598.392093, 77540.765697, 58730.863949, 72679.805487, 0.001157, 0.140230, [162 102], [54 98], [89 144], [74 195]
 1, 1, Novel, 82.893063, 82.893063, 19.562749, 82.893063, 67.060485, 109867.737417, 77437.733873, 77264.941054, 58747.047168, 80829.364878, 0.000872, , [38 90], [10 151], [138 102], [178 136]
 1, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76716.287718, 111853.584388, 77569.542715, 77516.603652, 85914.004618, 0.000990, 0.334826, [197 107], [21 8], [173 183], [187 11]
 1, 2, Novel, 29.944506, 82.893063, 28.783299, 27.998804, 42.404918, 76316.027712, 77263.626564, 111760.935051, 111827.676068, 94292.066348, 0.000493, , [103 78], [70 190], [87 58], [182 170]
 1, 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58173.546070, 77530.373824, 58779.281457, 77462.515598, 67986.429237, 0.001244, 0.130402, [106 77], [170 194], [64 123], [121 90]
 1, 3, Novel, 82.893063, 20.593175, 82.893063, 82.893063, 67.318091, 76849.200210, 77170.434278, 58710.417723, 77516.603652, 72561.663966, 0.000957, , [162 102], [159 102], [89 29], [187 11]
 1, 4, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76862.760542, 111851.117745, 77551.341233, 77579.929029, 85961.287137, 0.000989, 0.058751, [153 142], [188 46], [130 90], [63 151]
 1, 4, Novel, 33.520782, 82.893063, 82.893063, 82.893063, 70.549993, 109460.265957, 77441.403757, 77395.356964, 77462.515598, 85439.885569, 0.000879, , [157 5], [170 83], [31 167], [121 90]
 1, 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109867.737417, 77437.733873, 77569.542715, 58726.977584, 80900.497897, 0.001076, 0.001364, [38 90], [10 151], [173 183], [86 25]
 1, 5, Novel, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76747.579125, 77263.626564, 77395.356964, 77516.603652, 77230.791576, 0.001073, , [97 148], [70 190], [31 167], [187 11]
 1, 6, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58319.125479, 77427.284236, 77453.680166, 112092.210520, 81323.075100, 0.001075, 0.093733, [156 10], [148 99], [145 108], [135 98]
 1, 6, Novel, 82.893063, 82.893063, 26.870079, 82.893063, 68.887317, 76849.200210, 77525.273271, 77288.502842, 77554.070885, 77304.261802, 0.000891, , [162 102], [40 120], [73 196], [36 29]
 1, 7, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58445.646797, 58735.108492, 77551.341233, 77516.603652, 68062.175043, 0.001242, 0.277943, [137 41], [149 170], [130 90], [187 11]
 1, 7, Novel, 82.634288, 82.893063, 28.783299, 30.673013, 56.245916, 76320.473313, 77441.403757, 111760.935051, 77411.389591, 85733.550428, 0.000702, , [158 146], [170 83], [87 58], [77 196]
 1, 8, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 58319.125479, 77441.403757, 77551.341233, 111919.831927, 81307.925599, 0.001075, 0.154759, [156 10], [170 83], [130 90], [38 174]
 1, 8, Novel, 82.893063, 82.893063, 15.168167, 82.893063, 65.961839, 76862.760542, 111853.584388, 58622.025136, 77462.515598, 81200.221416, 0.000787, , [153 142], [21 8], [58 165], [121 90]
 1, 9, Sample, 82.634288, 82.893063, 82.893063, 82.893063, 82.828369, 76320.473313, 77437.733873, 111935.648199, 77462.515598, 85789.092746, 0.000991, 0.051128, [158 146], [10 151], [188 162], [121 90]
