
Perirhinal Layer, 24-D input stimuli
Experiment:, list18, 
Stim Condition:, 4, 
 Stimulus Set 1:
Sample 1, [ 0.950 0.050, 0.050 0.333, 0.950 0.950, 0.050 0.667 ],Novel 1, [ 0.950 0.667, 0.050 0.950, 0.050 0.050, 0.333 0.050 ] Sample 2, [ 0.667 0.667, 0.333 0.050, 0.050 0.333, 0.333 0.950 ],Novel 2, [ 0.333 0.333, 0.950 0.667, 0.667 0.050, 0.667 0.950 ] Sample 3, [ 0.333 0.667, 0.950 0.950, 0.950 0.667, 0.667 0.333 ],Novel 3, [ 0.950 0.333, 0.667 0.950, 0.050 0.950, 0.050 0.333 ] Sample 4, [ 0.950 0.950, 0.050 0.050, 0.333 0.667, 0.950 0.667 ],Novel 4, [ 0.667 0.667, 0.667 0.050, 0.333 0.050, 0.050 0.667 ] Sample 5, [ 0.333 0.333, 0.667 0.333, 0.667 0.667, 0.050 0.667 ],Novel 5, [ 0.050 0.950, 0.333 0.050, 0.950 0.333, 0.667 0.950 ] Sample 6, [ 0.333 0.667, 0.667 0.333, 0.333 0.050, 0.333 0.950 ],Novel 6, [ 0.950 0.667, 0.950 0.950, 0.950 0.050, 0.050 0.333 ] Sample 7, [ 0.050 0.950, 0.667 0.333, 0.050 0.333, 0.050 0.050 ],Novel 7, [ 0.050 0.667, 0.333 0.333, 0.950 0.950, 0.950 0.050 ] Sample 8, [ 0.667 0.050, 0.050 0.667, 0.950 0.333, 0.333 0.050 ],Novel 8, [ 0.333 0.667, 0.950 0.950, 0.667 0.667, 0.050 0.333 ] Sample 9, [ 0.950 0.333, 0.950 0.050, 0.050 0.050, 0.333 0.950 ],Novel 9, [ 0.667 0.050, 0.667 0.667, 0.333 0.050, 0.050 0.950 ] Sample 10, [ 0.050 0.333, 0.050 0.950, 0.667 0.667, 0.333 0.333 ],Novel 10, [ 0.950 0.333, 0.667 0.950, 0.050 0.050, 0.950 0.050 ] Sample 11, [ 0.667 0.667, 0.667 0.050, 0.667 0.950, 0.950 0.050 ],Novel 11, [ 0.050 0.050, 0.333 0.050, 0.950 0.667, 0.950 0.333 ] Sample 12, [ 0.333 0.667, 0.333 0.333, 0.667 0.950, 0.333 0.950 ],Novel 12, [ 0.050 0.667, 0.050 0.333, 0.333 0.050, 0.950 0.667 ] Sample 13, [ 0.050 0.333, 0.950 0.050, 0.050 0.050, 0.950 0.667 ],Novel 13, [ 0.050 0.950, 0.667 0.667, 0.667 0.050, 0.333 0.333 ] Sample 14, [ 0.050 0.050, 0.950 0.333, 0.333 0.950, 0.950 0.050 ],Novel 14, [ 0.667 0.333, 0.667 0.050, 0.667 0.950, 0.667 0.667 ] Sample 15, [ 0.333 0.950, 0.667 0.333, 0.667 0.050, 0.950 0.950 ],Novel 15, [ 0.950 0.667, 0.050 0.333, 0.050 0.950, 0.050 0.050 ] Sample 16, [ 0.667 0.050, 0.950 0.333, 0.667 0.667, 0.333 0.950 ],Novel 16, [ 0.667 0.950, 0.667 0.333, 0.950 0.950, 0.950 0.667 ] Sample 17, [ 0.333 0.333, 0.050 0.667, 0.950 0.050, 0.050 0.050 ],Novel 17, [ 0.333 0.950, 0.667 0.667, 0.667 0.333, 0.950 0.333 ] Sample 18, [ 0.333 0.950, 0.333 0.050, 0.667 0.333, 0.333 0.667 ],Novel 18, [ 0.050 0.333, 0.050 0.950, 0.050 0.050, 0.333 0.333 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 1, 1, Sample, 71.116754, 64104.138229, 0.001109, 0.655790, [20 31]
 1, 1, Novel, 14.757833, 63990.936477, 0.000231,, [145 165]
 1, 2, Sample, 32.347089, 79681.044457, 0.000406, 0.271490, [3 82]
 1, 2, Novel, 18.515696, 79604.357779, 0.000233,, [160 159]
 1, 3, Sample, 82.893063, 79795.148624, 0.001039, 0.635682, [87 27]
 1, 3, Novel, 15.854543, 68522.085968, 0.000231,, [105 120]
 1, 4, Sample, 82.893063, 68690.662485, 0.001207, 0.575041, [7 8]
 1, 4, Novel, 25.970135, 79762.345703, 0.000326,, [10 82]
 1, 5, Sample, 82.893063, 95073.636804, 0.000872, 0.379065, [135 60]
 1, 5, Novel, 26.972400, 68706.921786, 0.000393,, [122 37]
 1, 6, Sample, 52.964006, 86687.173116, 0.000611, 0.428166, [5 85]
 1, 6, Novel, 15.663315, 64027.444440, 0.000245,, [3 161]
 1, 7, Sample, 82.893063, 68869.488563, 0.001204, 0.576443, [131 92]
 1, 7, Novel, 22.217158, 68701.066465, 0.000323,, [165 161]
 1, 8, Sample, 50.728369, 73845.658420, 0.000687, 0.490326, [24 32]
 1, 8, Novel, 18.728922, 79721.443677, 0.000235,, [105 138]
 1, 9, Sample, 82.893063, 64142.589065, 0.001292, 0.689424, [7 81]
 1, 9, Novel, 17.504551, 73680.087145, 0.000238,, [162 104]
 1, 10, Sample, 82.893063, 79801.838985, 0.001039, 0.617852, [95 74]
 1, 10, Novel, 15.685346, 63928.637680, 0.000245,, [100 15]
 1, 11, Sample, 82.893063, 73920.362618, 0.001121, 0.650743, [166 163]
 1, 11, Novel, 16.286981, 68646.891063, 0.000237,, [111 194]
 1, 12, Sample, 73.175471, 86670.298287, 0.000844, 0.549055, [119 36]
 1, 12, Novel, 18.129963, 73764.174404, 0.000246,, [76 170]
 1, 13, Sample, 82.893063, 64181.503610, 0.001292, 0.679061, [170 135]
 1, 13, Novel, 19.699054, 79795.839177, 0.000247,, [167 15]
 1, 14, Sample, 82.893063, 64188.980978, 0.001291, 0.668021, [170 44]
 1, 14, Novel, 22.248329, 86562.582255, 0.000257,, [189 135]
 1, 15, Sample, 82.893063, 73892.294225, 0.001122, 0.652333, [26 79]
 1, 15, Novel, 15.119856, 64056.487251, 0.000236,, [48 135]
 1, 16, Sample, 82.893063, 79703.743283, 0.001040, 0.618356, [188 179]
 1, 16, Novel, 18.092066, 73767.342869, 0.000245,, [168 92]
 1, 17, Sample, 82.893063, 68832.410163, 0.001204, 0.663589, [24 37]
 1, 17, Novel, 21.094031, 86618.397543, 0.000244,, [27 171]
 1, 18, Sample, 82.893063, 86831.084362, 0.000955, 0.601816, [124 38]
 1, 18, Novel, 16.278096, 68594.517481, 0.000237,, [17 101]
 2, 1, Sample, 82.893063, 64334.843780, 0.001288, 0.679545, [54 188]
 2, 1, Novel, 15.731099, 63989.987050, 0.000246,, [116 24]
 2, 2, Sample, 42.302623, 79801.068901, 0.000530, 0.371006, [75 109]
 2, 2, Novel, 19.347190, 79552.194567, 0.000243,, [51 122]
 2, 3, Sample, 82.893063, 79632.210223, 0.001041, 0.627587, [42 144]
 2, 3, Novel, 16.330208, 68561.789020, 0.000238,, [181 124]
 2, 4, Sample, 82.893063, 68840.040922, 0.001204, 0.559211, [166 120]
 2, 4, Novel, 27.143486, 79737.477530, 0.000340,, [78 107]
 2, 5, Sample, 82.893063, 95058.756351, 0.000872, 0.348623, [159 186]
