
Group Lesion
Experiment:, list6, 

Stim Condition:, 1, 
 Stim Pair 1:,Sample: , [ 0.050 0.333, 0.667 0.950, 0.950 0.333, 0.050 0.667 ],Novel: , [ 0.050 0.950, 0.333 0.050, 0.333 0.333, 0.333 0.950 ] Stim Pair 2:,Sample: , [ 0.950 0.333, 0.333 0.667, 0.050 0.050, 0.950 0.050 ],Novel: , [ 0.667 0.050, 0.050 0.333, 0.667 0.333, 0.950 0.667 ] Stim Pair 3:,Sample: , [ 0.950 0.950, 0.667 0.050, 0.950 0.333, 0.667 0.333 ],Novel: , [ 0.950 0.050, 0.950 0.667, 0.667 0.950, 0.333 0.333 ] Stim Pair 4:,Sample: , [ 0.050 0.050, 0.950 0.950, 0.050 0.333, 0.050 0.950 ],Novel: , [ 0.333 0.667, 0.667 0.667, 0.667 0.950, 0.950 0.050 ] Stim Pair 5:,Sample: , [ 0.333 0.333, 0.950 0.050, 0.333 0.950, 0.333 0.050 ],Novel: , [ 0.667 0.333, 0.950 0.333, 0.950 0.667, 0.050 0.950 ] Stim Pair 6:,Sample: , [ 0.667 0.050, 0.050 0.950, 0.050 0.333, 0.333 0.333 ],Novel: , [ 0.050 0.667, 0.950 0.333, 0.667 0.333, 0.050 0.050 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 78.559177, 77.742511, 82.893063, 78.382893, 79.394411, 76411.867442, 77284.175246, 77390.375719, 77658.611281, 77186.257422, 0.001029, 0.602992, [182 92], [69 72], [79 74], [104 200]
 1, Novel, 14.040564, 20.003321, 28.922625, 20.057379, 20.755972, 57870.378941, 77243.244213, 112014.565812, 77374.117255, 81125.576555, 0.000255, , [113 66], [33 99], [101 82], [142 32]
 2, Sample, 78.187400, 80.550802, 75.277615, 77.004495, 77.755078, 76665.273735, 111610.958820, 58759.386968, 58576.401128, 76403.005163, 0.001084, 0.397965, [161 31], [80 162], [96 21], [198 28]
 2, Novel, 78.317495, 23.978991, 28.971347, 21.366883, 38.158679, 76678.285413, 77209.185192, 111868.746805, 77156.842776, 85728.265046, 0.000467, , [13 85], [40 57], [187 118], [41 160]
 3, Sample, 76.501401, 76.982231, 82.893063, 80.279462, 79.164039, 58153.757731, 77399.870481, 77390.375719, 111779.339643, 81180.835894, 0.001025, 0.454871, [85 97], [1 18], [79 74], [61 47]
 3, Novel, 15.709772, 22.080549, 19.581300, 81.617402, 34.747256, 58221.920619, 77339.819267, 77356.319405, 112180.143701, 81274.550748, 0.000384, , [56 30], [184 79], [88 105], [165 86]
 4, Sample, 76.020002, 75.861618, 82.893063, 75.486692, 77.565344, 58117.511210, 58637.035736, 77599.521721, 58785.043644, 63284.778078, 0.001239, 0.404275, [111 168], [128 22], [44 63], [178 40]
 4, Novel, 30.368188, 28.598369, 19.581300, 77.004495, 38.888088, 109330.651762, 111645.408270, 77356.319405, 58576.401128, 89227.195141, 0.000525, , [67 139], [65 172], [88 105], [198 28]
 5, Sample, 81.065853, 76.716282, 80.326682, 78.592319, 79.175284, 109593.072400, 58700.312993, 77502.009374, 77583.366418, 80844.690296, 0.001024, 0.331348, [84 172], [194 99], [94 139], [156 68]
 5, Novel, 30.020635, 19.910922, 18.708415, 75.486692, 36.031666, 109675.528945, 77359.831704, 77314.417039, 58785.043644, 80783.705333, 0.000514, , [86 34], [79 144], [67 22], [178 40]
 6, Sample, 78.317495, 77.489855, 82.893063, 81.617402, 80.079454, 76678.285413, 58558.265379, 77599.521721, 112180.143701, 81254.054054, 0.001035, 0.579182, [13 85], [92 133], [44 63], [165 86]
 6, Novel, 20.054675, 19.910922, 28.971347, 19.054693, 21.997909, 76251.019115, 77359.831704, 111868.746805, 58815.367662, 81073.741321, 0.000276, , [43 59], [79 144], [187 118], [91 25]
