
Perirhinal Layer, 24-D input stimuli
Experiment:, list6, 
Stim Condition:, 3, 
 Stimulus Set 1:
Sample 1, [ 0.050 0.667, 0.333 0.050, 0.950 0.333, 0.667 0.050 ],Novel 1, [ 0.950 0.667, 0.333 0.950, 0.050 0.050, 0.950 0.050 ] Sample 2, [ 0.950 0.333, 0.050 0.950, 0.050 0.050, 0.667 0.667 ],Novel 2, [ 0.333 0.950, 0.667 0.050, 0.950 0.050, 0.050 0.667 ] Sample 3, [ 0.333 0.950, 0.050 0.050, 0.950 0.050, 0.050 0.333 ],Novel 3, [ 0.667 0.050, 0.667 0.333, 0.950 0.333, 0.333 0.050 ] Sample 4, [ 0.667 0.333, 0.950 0.667, 0.950 0.950, 0.050 0.667 ],Novel 4, [ 0.050 0.050, 0.333 0.667, 0.333 0.333, 0.950 0.050 ] Sample 5, [ 0.667 0.950, 0.950 0.333, 0.950 0.667, 0.667 0.333 ],Novel 5, [ 0.050 0.667, 0.333 0.333, 0.333 0.050, 0.667 0.050 ] Sample 6, [ 0.333 0.667, 0.050 0.950, 0.333 0.950, 0.050 0.050 ],Novel 6, [ 0.950 0.050, 0.950 0.950, 0.950 0.333, 0.050 0.667 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 1, 1, Sample, 82.893063, 74052.913999, 0.001119, 0.637772, [139 200]
 1, 1, Novel, 15.861963, 64069.547198, 0.000248,, [100 15]
 1, 2, Sample, 82.893063, 68675.798957, 0.001207, 0.541080, [96 165]
 1, 2, Novel, 24.706280, 68735.418090, 0.000359,, [93 108]
 1, 3, Sample, 82.893063, 64340.646466, 0.001288, 0.686333, [91 107]
 1, 3, Novel, 19.109761, 79743.856508, 0.000240,, [51 32]
 1, 4, Sample, 82.893063, 73892.164102, 0.001122, 0.651275, [4 79]
 1, 4, Novel, 17.479410, 73780.759545, 0.000237,, [174 174]
 1, 5, Sample, 82.893063, 79877.469909, 0.001038, 0.634117, [92 45]
 1, 5, Novel, 18.545892, 79816.813168, 0.000232,, [69 112]
 1, 6, Sample, 82.893063, 68874.115100, 0.001204, 0.572342, [48 135]
 1, 6, Novel, 20.956291, 64018.055102, 0.000327,, [1 79]
 2, 1, Sample, 82.893063, 73946.413515, 0.001121, 0.538828, [154 83]
 2, 1, Novel, 21.529084, 64084.271653, 0.000336,, [155 175]
 2, 2, Sample, 82.893063, 68789.824719, 0.001205, 0.548592, [153 176]
 2, 2, Novel, 24.101164, 68613.891013, 0.000351,, [103 115]
 2, 3, Sample, 82.893063, 64265.128686, 0.001290, 0.695792, [104 113]
