
Caudal Layer, 6-D input stimuli
Experiment:, list6,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 4, 
 Stimulus Set 1:
Sample 1, [ 0.333  0.050, 0.667  0.950, 0.950  0.667, 0.667  0.333 ],Novel 1, [ 0.050  0.667, 0.050  0.950, 0.667  0.667, 0.950  0.950 ] Sample 2, [ 0.667  0.050, 0.667  0.667, 0.950  0.050, 0.667  0.950 ],Novel 2, [ 0.333  0.050, 0.950  0.950, 0.050  0.333, 0.050  0.667 ] Sample 3, [ 0.050  0.333, 0.050  0.050, 0.333  0.050, 0.950  0.667 ],Novel 3, [ 0.333  0.667, 0.333  0.950, 0.950  0.333, 0.333  0.333 ] Sample 4, [ 0.950  0.667, 0.950  0.333, 0.667  0.667, 0.333  0.950 ],Novel 4, [ 0.333  0.050, 0.050  0.667, 0.667  0.950, 0.950  0.950 ] Sample 5, [ 0.950  0.667, 0.950  0.950, 0.667  0.333, 0.667  0.050 ],Novel 5, [ 0.950  0.333, 0.050  0.950, 0.333  0.950, 0.333  0.667 ] Sample 6, [ 0.950  0.950, 0.667  0.950, 0.333  0.050, 0.050  0.950 ],Novel 6, [ 0.333  0.667, 0.333  0.950, 0.050  0.050, 0.950  0.667 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, 1, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76787.496243, 77553.368650, 77616.447756, 112119.791831, 86019.276120, 0.000989, 0.408192, [162 102], [159 102], [73 196], [135 98]
 1, 1, Novel, 21.203769, 16.036017, 82.893063, 21.818057, 35.487727, 76345.581108, 58570.707637, 112121.631141, 58717.062078, 76438.745491, 0.000416, , [197 107], [142 186], [26 105], [74 195]
 1, 2, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76744.104205, 111825.662731, 58868.210034, 77520.098373, 81239.518836, 0.001075, 0.173848, [97 148], [151 40], [58 165], [113 142]
 1, 2, Novel, 82.893063, 82.893063, 21.035085, 20.320090, 51.785325, 76787.496243, 58776.466409, 77134.499774, 77270.930883, 72492.348327, 0.000756, , [162 102], [44 11], [89 144], [121 90]
 1, 3, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76621.888088, 58610.593619, 77476.006152, 77602.030105, 72577.629491, 0.001159, 0.619967, [153 142], [106 115], [173 183], [54 172]
 1, 3, Novel, 28.392861, 19.642474, 25.052619, 27.998804, 25.271690, 109340.396399, 77334.982954, 77564.311770, 111769.415715, 94002.276709, 0.000272, , [155 184], [148 99], [74 36], [182 170]
 1, 4, Sample, 82.893063, 82.893063, 82.893063, 61.582585, 77.565444, 76541.901366, 77360.559102, 112121.631141, 77425.636880, 85862.432123, 0.000922, 0.302718, [57 119], [10 151], [26 105], [88 31]
 1, 4, Novel, 82.893063, 20.912072, 19.562749, 21.818057, 36.296486, 76787.496243, 77265.136591, 77355.482495, 58717.062078, 72531.294352, 0.000494, , [162 102], [54 98], [138 102], [74 195]
 1, 5, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76541.901366, 58776.466409, 112162.505465, 77500.853704, 81245.431736, 0.001075, 0.597035, [57 119], [44 11], [12 200], [36 29]
 1, 5, Novel, 21.194772, 16.036017, 20.444258, 30.156767, 21.957953, 76469.067541, 58570.707637, 77223.335998, 111790.848040, 81013.489804, 0.000271, , [46 25], [142 186], [31 167], [27 27]
