
Group Lesion
Experiment:, list6, 
Stim Pair 1:,Sample: , [ 0.950 0.667, 0.667 0.950, 0.050 0.667, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.050 0.950, 0.333 0.050, 0.667 0.667 ] Stim Pair 2:,Sample: , [ 0.333 0.050, 0.333 0.950, 0.050 0.333, 0.950 0.950 ],Novel: , [ 0.667 0.333, 0.333 0.667, 0.667 0.050, 0.333 0.333 ] Stim Pair 3:,Sample: , [ 0.333 0.667, 0.667 0.950, 0.667 0.333, 0.950 0.050 ],Novel: , [ 0.667 0.050, 0.667 0.667, 0.050 0.950, 0.333 0.950 ] Stim Pair 4:,Sample: , [ 0.950 0.050, 0.050 0.050, 0.667 0.333, 0.050 0.333 ],Novel: , [ 0.333 0.050, 0.667 0.667, 0.333 0.950, 0.667 0.333 ] Stim Pair 5:,Sample: , [ 0.333 0.667, 0.333 0.050, 0.950 0.333, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.950 0.950, 0.667 0.950, 0.050 0.333 ] Stim Pair 6:,Sample: , [ 0.333 0.950, 0.667 0.050, 0.050 0.950, 0.667 0.667 ],Novel: , [ 0.333 0.333, 0.950 0.950, 0.667 0.950, 0.333 0.667 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 76.712066, 82.893063, 77.977856, 82.893063, 80.119012, 76522.124346, 77335.116209, 77335.937664, 58832.633815, 72506.453008, 0.001123, 0.269941, [162 96], [177 173], [79 70], [188 70]
 1, Novel, 75.357303, 17.233914, 20.741556, 80.576930, 48.477426, 57941.244459, 58549.464376, 77362.407114, 112054.919531, 76477.008870, 0.000646, , [8 200], [76 139], [87 134], [28 10]
 2, Sample, 77.622513, 78.153041, 77.305942, 75.880858, 77.240589, 76319.054076, 77331.392320, 77321.673312, 58641.265916, 72403.346406, 0.001080, 0.595387, [13 176], [113 54], [118 131], [37 138]
 2, Novel, 28.820543, 29.953813, 20.112060, 34.176035, 28.265613, 109331.828904, 111716.884807, 77505.332786, 112137.241539, 102672.822009, 0.000274, , [15 154], [72 103], [60 183], [84 88]
 3, Sample, 82.893063, 82.893063, 82.893063, 76.737233, 81.354106, 110059.349948, 77335.116209, 112189.510995, 58881.037899, 89616.253762, 0.000967, 0.306314, [149 124], [177 173], [112 95], [168 148]
 3, Novel, 20.394522, 27.190730, 75.255972, 19.912510, 35.688434, 76212.458772, 111612.896409, 58588.984135, 77218.879514, 80908.304707, 0.000513, , [128 59], [88 30], [149 179], [75 151]
 4, Sample, 75.357303, 76.226781, 82.893063, 77.104863, 77.895503, 57941.244459, 58699.050658, 112189.510995, 77483.093827, 76578.224985, 0.001083, 0.419992, [8 200], [155 96], [112 95], [146 39]
 4, Novel, 77.622513, 27.190730, 19.158787, 29.332700, 38.326183, 76319.054076, 111612.896409, 77252.355941, 112289.378749, 94368.421294, 0.000442, , [13 176], [88 30], [57 57], [8 21]
 5, Sample, 82.893063, 77.890032, 78.356824, 82.893063, 80.508246, 110059.349948, 77460.780284, 77626.479947, 58832.633815, 80994.810998, 0.001044, 0.162885, [149 124], [102 94], [110 186], [188 70]
 5, Novel, 75.357303, 21.761903, 26.223263, 77.104863, 50.111833, 57941.244459, 58517.837267, 77278.706595, 77483.093827, 67805.220537, 0.000752, , [8 200], [6 38], [113 56], [146 39]
 6, Sample, 77.185117, 77.307695, 75.255972, 80.576930, 77.581429, 76855.052737, 77416.141803, 58588.984135, 112054.919531, 81228.774552, 0.001002, 0.520739, [124 113], [192 40], [149 179], [28 10]
 6, Novel, 29.071448, 21.761903, 26.223263, 31.985585, 27.260550, 109509.090643, 58517.837267, 77278.706595, 111859.680983, 89291.328872, 0.000316, , [61 120], [6 38], [113 56], [61 11]
