
Group Intact
Experiment:, list6, 

Stim Condition:, 1, 
 Stim Pair 1:,Sample: , [ 0.050 0.333, 0.667 0.950, 0.950 0.333, 0.050 0.667 ],Novel: , [ 0.050 0.950, 0.333 0.050, 0.333 0.333, 0.333 0.950 ] Stim Pair 2:,Sample: , [ 0.950 0.333, 0.333 0.667, 0.050 0.050, 0.950 0.050 ],Novel: , [ 0.667 0.050, 0.050 0.333, 0.667 0.333, 0.950 0.667 ] Stim Pair 3:,Sample: , [ 0.950 0.950, 0.667 0.050, 0.950 0.333, 0.667 0.333 ],Novel: , [ 0.950 0.050, 0.950 0.667, 0.667 0.950, 0.333 0.333 ] Stim Pair 4:,Sample: , [ 0.050 0.050, 0.950 0.950, 0.050 0.333, 0.050 0.950 ],Novel: , [ 0.333 0.667, 0.667 0.667, 0.667 0.950, 0.950 0.050 ] Stim Pair 5:,Sample: , [ 0.333 0.333, 0.950 0.050, 0.333 0.950, 0.333 0.050 ],Novel: , [ 0.667 0.333, 0.950 0.333, 0.950 0.667, 0.050 0.950 ] Stim Pair 6:,Sample: , [ 0.667 0.050, 0.050 0.950, 0.050 0.333, 0.333 0.333 ],Novel: , [ 0.050 0.667, 0.950 0.333, 0.667 0.333, 0.050 0.050 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 76.384721, 77.471475, 82.893063, 77.775066, 78.631081, 76518.531045, 77499.596721, 77239.160321, 77646.618544, 77225.976658, 0.001018, 0.546043, [57 103], [183 144], [53 95], [36 187]
 1, Novel, 15.390858, 20.742734, 31.960371, 29.104430, 24.299598, 57937.392220, 76972.454619, 112114.840115, 77474.785189, 81124.868036, 0.000299, , [42 183], [56 107], [77 56], [175 175]
 2, Sample, 77.750407, 80.952180, 75.991320, 76.892604, 77.896628, 76664.546415, 111825.947040, 58820.685052, 58616.596799, 76481.943827, 0.001085, 0.416233, [154 53], [82 141], [46 157], [33 5]
 2, Novel, 79.133433, 18.963527, 29.700033, 18.883774, 36.670192, 76577.001232, 77143.066595, 111724.533193, 77193.320427, 85659.480362, 0.000447, , [153 19], [94 170], [51 155], [96 156]
 3, Sample, 75.343401, 79.707844, 82.893063, 81.176733, 79.780260, 58157.675863, 77088.720324, 77239.160321, 111973.416723, 81114.743308, 0.001032, 0.464791, [109 65], [56 129], [53 95], [20 192]
 3, Novel, 16.517578, 19.237137, 19.708489, 80.757104, 34.055077, 58163.194221, 77319.545160, 77298.207528, 112098.207438, 81219.788587, 0.000377, , [58 128], [154 83], [133 78], [103 91]
 4, Sample, 75.541035, 77.635299, 82.893063, 77.541568, 78.402741, 58138.125415, 58748.005148, 77698.427554, 58839.422482, 63355.995150, 0.001251, 0.406139, [75 4], [110 60], [192 159], [176 173]
 4, Novel, 29.129355, 31.424435, 19.708489, 76.892604, 39.288721, 109489.757868, 111748.005505, 77298.207528, 58616.596799, 89288.141925, 0.000529, , [95 7], [18 56], [133 78], [33 5]
 5, Sample, 80.854200, 76.208478, 77.796513, 76.257884, 77.779268, 109696.066060, 58477.697328, 77515.252280, 77480.171792, 80792.296865, 0.001007, 0.303456, [76 126], [155 126], [107 184], [106 186]
 5, Novel, 29.246217, 22.271488, 21.567794, 77.541568, 37.656767, 109682.244352, 77161.100394, 77184.359319, 58839.422482, 80716.781637, 0.000538, , [43 91], [16 146], [70 60], [176 173]
 6, Sample, 79.133433, 77.165965, 82.893063, 80.757104, 79.987391, 76577.001232, 58724.196570, 77698.427554, 112098.207438, 81274.458198, 0.001034, 0.566287, [153 19], [42 182], [192 159], [103 91]
 6, Novel, 20.635131, 22.271488, 29.700033, 18.790205, 22.849215, 76364.450697, 77161.100394, 111724.533193, 58676.863053, 80981.736834, 0.000286, , [163 155], [16 146], [51 155], [119 173]
