
Group Lesion
Experiment:, list6, 

Stim Condition:, 1, 
 Stim Pair 1:,Sample: , [ 0.050 0.333, 0.667 0.950, 0.950 0.333, 0.050 0.667 ],Novel: , [ 0.050 0.950, 0.333 0.050, 0.333 0.333, 0.333 0.950 ] Stim Pair 2:,Sample: , [ 0.950 0.333, 0.333 0.667, 0.050 0.050, 0.950 0.050 ],Novel: , [ 0.667 0.050, 0.050 0.333, 0.667 0.333, 0.950 0.667 ] Stim Pair 3:,Sample: , [ 0.950 0.950, 0.667 0.050, 0.950 0.333, 0.667 0.333 ],Novel: , [ 0.950 0.050, 0.950 0.667, 0.667 0.950, 0.333 0.333 ] Stim Pair 4:,Sample: , [ 0.050 0.050, 0.950 0.950, 0.050 0.333, 0.050 0.950 ],Novel: , [ 0.333 0.667, 0.667 0.667, 0.667 0.950, 0.950 0.050 ] Stim Pair 5:,Sample: , [ 0.333 0.333, 0.950 0.050, 0.333 0.950, 0.333 0.050 ],Novel: , [ 0.667 0.333, 0.950 0.333, 0.950 0.667, 0.050 0.950 ] Stim Pair 6:,Sample: , [ 0.667 0.050, 0.050 0.950, 0.050 0.333, 0.333 0.333 ],Novel: , [ 0.050 0.667, 0.950 0.333, 0.667 0.333, 0.050 0.050 ] 

Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 1, Sample, 76.744855, 77.133238, 82.893063, 79.947183, 79.179585, 76697.252576, 77473.963078, 77339.018678, 77647.557670, 77289.448001, 0.001024, 0.603046, [47 64], [197 130], [21 86], [157 151]
 1, Novel, 13.988359, 20.413626, 30.005269, 18.688620, 20.773969, 57978.579677, 77229.945848, 111924.531357, 77544.209131, 81169.316503, 0.000254, , [183 138], [139 137], [115 172], [32 130]
 2, Sample, 77.542146, 81.150929, 75.107289, 76.209234, 77.502399, 76521.494275, 111736.763236, 58712.351333, 58621.210955, 76397.954950, 0.001080, 0.398567, [170 160], [76 156], [187 1], [140 37]
 2, Novel, 78.742629, 24.877592, 29.600273, 18.803025, 38.005880, 76713.111081, 77152.873919, 111757.434166, 77217.584789, 85710.250989, 0.000464, , [51 37], [52 87], [94 200], [96 149]
 3, Sample, 76.168765, 76.398423, 82.893063, 81.399052, 79.214826, 57957.626766, 77405.527250, 77339.018678, 111949.892846, 81163.016385, 0.001025, 0.449538, [71 112], [102 78], [21 86], [23 135]
 3, Novel, 17.119443, 20.281684, 21.343846, 81.206808, 34.987945, 58157.490237, 77393.049313, 77358.699235, 112057.703636, 81241.735605, 0.000389, , [98 195], [102 106], [7 80], [197 92]
 4, Sample, 75.741653, 76.163735, 82.893063, 75.060099, 77.464638, 58330.483228, 58734.501995, 77524.471689, 58856.167079, 63361.405998, 0.001235, 0.402491, [52 88], [93 103], [169 32], [119 33]
 4, Novel, 28.260868, 30.271691, 21.343846, 76.209234, 39.021410, 109545.098139, 111867.896159, 77358.699235, 58621.210955, 89348.226122, 0.000526, , [176 122], [192 3], [7 80], [140 37]
 5, Sample, 79.688895, 75.388320, 78.171108, 77.259355, 77.626920, 109898.624384, 58687.330274, 77447.086795, 77442.580431, 80868.905471, 0.001004, 0.312686, [146 113], [144 66], [44 126], [81 19]
 5, Novel, 27.273659, 18.953222, 25.820659, 75.060099, 36.776910, 109708.079558, 77357.288528, 77265.818288, 58856.167079, 80796.838363, 0.000526, , [67 66], [19 137], [90 103], [119 33]
 6, Sample, 78.742629, 76.056017, 82.893063, 81.206808, 79.724629, 76713.111081, 58614.458322, 77524.471689, 112057.703636, 81227.436182, 0.001029, 0.590986, [51 37], [118 178], [169 32], [197 92]
 6, Novel, 23.036950, 18.953222, 29.600273, 14.516606, 21.526763, 76467.289978, 77357.288528, 111757.434166, 58649.049636, 81057.765577, 0.000265, , [125 38], [19 137], [94 200], [178 20]
