
 1, Sample, 82.893063, 79.364705, 82.893063, 82.893063, 82.010974, 58294.725387, 77184.193402, 77741.571366, 77444.459171, 72666.237332, 0.001147, 0.497053, [58 128], [56 107], [9 118], [163 193]
 1, Novel, 19.518249, 81.569150, 15.526917, 32.387559, 37.250469, 76328.600344, 111501.233126, 58695.535230, 111997.126207, 89630.623726, 0.000385, , [57 103], [190 143], [46 157], [103 91]
 2, Sample, 82.893063, 80.544165, 77.796513, 76.257884, 79.372906, 58294.725387, 111606.807301, 77590.404993, 77464.619459, 81239.139285, 0.001033, 0.590015, [58 128], [57 57], [107 184], [106 186]
 2, Novel, 18.832244, 22.271488, 16.460421, 28.106714, 21.417717, 76615.428755, 77109.014323, 58825.942861, 112132.687795, 81170.768434, 0.000266, , [18 146], [16 146], [187 106], [2 191]
 3, Sample, 82.893063, 77.413318, 82.893063, 82.893063, 81.523127, 58294.725387, 77419.263426, 77741.571366, 58790.397809, 68061.489497, 0.001225, 0.646539, [58 128], [183 144], [9 118], [119 173]
 3, Novel, 15.390858, 31.245303, 19.708489, 28.151950, 23.624150, 57975.625538, 111793.510202, 77345.949005, 111844.657906, 89739.935663, 0.000263, , [42 183], [82 141], [133 78], [36 82]
 4, Sample, 75.343401, 77.573428, 75.897469, 82.893063, 77.926840, 58215.531940, 77427.260587, 58497.617660, 58790.397809, 63232.701999, 0.001251, 0.480650, [109 65], [78 110], [126 29], [119 173]
 4, Novel, 29.246217, 19.237137, 19.708489, 76.257884, 36.112432, 109638.369935, 77244.578209, 77345.949005, 77464.619459, 85423.379152, 0.000439, , [43 91], [154 83], [133 78], [106 186]
 5, Sample, 77.127884, 76.123071, 80.438619, 77.775066, 77.866160, 76454.156171, 58578.585747, 112262.821711, 77628.071889, 81230.908879, 0.001007, 0.375830, [178 172], [180 154], [170 48], [36 187]
 5, Novel, 27.659435, 77.413318, 33.952049, 15.828417, 38.713305, 109495.859341, 77419.263426, 111736.040445, 58534.816655, 89296.494967, 0.000457, , [76 126], [183 144], [125 31], [85 143]
 6, Sample, 82.893063, 81.569150, 82.519494, 82.893063, 82.468693, 58294.725387, 111501.233126, 112174.537395, 77444.459171, 89853.738770, 0.000990, 0.392132, [58 128], [190 143], [77 56], [163 193]
 6, Novel, 14.817211, 77.573428, 17.116407, 28.106714, 34.403440, 57942.147600, 77427.260587, 77579.131941, 112132.687795, 81270.306981, 0.000432, , [75 4], [78 110], [192 159], [2 191]
 1, Sample, 49.070200, 68693.561568, 0.000714, 0.458416, [112 19]
 1, Novel, 21.100380, 79543.373810, 0.000265,, [92 185]
 2, Sample, 77.311408, 73858.132440, 0.001047, 0.636344, [145 139]
 2, Novel, 17.162923, 73778.589304, 0.000233,, [36 36]
 3, Sample, 76.627878, 64075.940614, 0.001196, 0.640014, [42 39]
