
 1, Sample, 82.893063, 77.890032, 82.893063, 82.893063, 81.642305, 58027.065119, 77494.153223, 77361.415050, 77381.033307, 72565.916675, 0.001144, 0.492554, [8 200], [102 94], [79 70], [149 179]
 1, Novel, 18.425603, 80.856253, 16.799662, 34.176035, 37.564388, 76433.068651, 111808.609746, 58541.378671, 112165.504914, 89737.140495, 0.000389, , [3 184], [170 23], [153 96], [84 88]
 2, Sample, 82.893063, 80.768398, 77.368516, 79.257139, 80.071779, 58027.065119, 111920.722591, 77353.336275, 77702.851757, 81250.993936, 0.001043, 0.596609, [8 200], [77 126], [57 57], [152 96]
 2, Novel, 20.816694, 18.481409, 15.010665, 31.985585, 21.573588, 76484.433270, 77243.563817, 58542.949805, 111903.370862, 81043.579439, 0.000263, , [162 96], [159 178], [149 179], [61 11]
 3, Sample, 82.893063, 76.293950, 82.893063, 82.893063, 81.243285, 58027.065119, 77267.385815, 77361.415050, 58858.239378, 67878.526340, 0.001224, 0.610730, [8 200], [177 173], [79 70], [188 70]
 3, Novel, 19.012273, 29.953813, 26.223263, 27.978913, 25.792065, 58302.784246, 111755.352361, 77316.208434, 111967.112438, 89835.364369, 0.000296, , [9 57], [72 103], [113 56], [28 10]
 4, Sample, 75.195247, 77.772382, 75.098171, 82.893063, 77.739716, 58247.279913, 77395.604696, 58830.160310, 58858.239378, 63332.821074, 0.001245, 0.447216, [7 39], [107 8], [169 45], [188 70]
 4, Novel, 28.820543, 21.583930, 26.223263, 79.257139, 38.971219, 109317.136641, 77185.143741, 77316.208434, 77702.851757, 85380.335143, 0.000476, , [15 154], [115 138], [113 56], [152 96]
 5, Sample, 77.185117, 76.226781, 80.087343, 78.786377, 78.071405, 76836.181652, 58744.050869, 111904.540798, 77381.404917, 81216.544559, 0.001009, 0.388100, [124 113], [155 96], [139 34], [108 150]
 5, Novel, 29.071448, 76.293950, 29.032062, 15.636897, 37.508590, 109436.879473, 77267.385815, 112070.583379, 58557.393653, 89333.060580, 0.000445, , [61 120], [177 173], [112 95], [37 138]
 6, Sample, 82.893063, 80.856253, 81.101794, 82.893063, 81.936044, 58027.065119, 111808.609746, 111896.248004, 77381.033307, 89778.239044, 0.000987, 0.373738, [8 200], [170 23], [92 105], [149 179]
 6, Novel, 14.666235, 77.772382, 19.758319, 31.985585, 36.045630, 57923.917737, 77395.604696, 77243.642229, 111903.370862, 81116.633881, 0.000450, , [143 189], [107 8], [118 131], [61 11]
