Experiment:, list6,,,,,,,,,
Stimuli for Condition 1:,,,,,,,,,,
Stim Pair 1:Sample: , [ 0.050 0.333, 0.667 0.950, 0.950 0.333, 0.050 0.667 ],Novel: , [ 0.050 0.950, 0.333 0.050, 0.333 0.333,, 0.333 0.950 ] 
Stim Pair 2:Sample: , [ 0.950 0.333, 0.333 0.667, 0.050 0.050, 0.950 0.050 ],Novel: , [ 0.667 0.050, 0.050 0.333, 0.667 0.333,, 0.950 0.667 ] 
Stim Pair 3:Sample: , [ 0.950 0.950, 0.667 0.050, 0.950 0.333, 0.667 0.333 ],Novel: , [ 0.950 0.050, 0.950 0.667, 0.667 0.950,, 0.333 0.333 ] 
Stim Pair 4:Sample: , [ 0.050 0.050, 0.950 0.950, 0.050 0.333, 0.050 0.950 ],Novel: , [ 0.333 0.667, 0.667 0.667, 0.667 0.950,, 0.950 0.050 ] 
Stim Pair 5:Sample: , [ 0.333 0.333, 0.950 0.050, 0.333 0.950, 0.333 0.050 ],Novel: , [ 0.667 0.333, 0.950 0.333, 0.950 0.667,, 0.050 0.950 ] 
Stim Pair 6:Sample: , [ 0.667 0.050, 0.050 0.950, 0.050 0.333, 0.333 0.333 ],Novel: , [ 0.050 0.667, 0.950 0.333, 0.667 0.333,, 0.050 0.050 ] 

Stimuli for Condition 2:,,,,,,,,,,
Stim Pair 1:Sample: , [ 0.950 0.050, 0.333 0.050, 0.050 0.667, 0.667 0.950 ],Novel: , [ 0.050 0.333, 0.667 0.333, 0.050 0.050,, 0.333 0.333 ] 
Stim Pair 2:Sample: , [ 0.950 0.050, 0.333 0.333, 0.333 0.950, 0.333 0.050 ],Novel: , [ 0.950 0.667, 0.950 0.333, 0.050 0.950,, 0.333 0.667 ] 
Stim Pair 3:Sample: , [ 0.950 0.050, 0.667 0.330, 0.050 0.667, 0.050 0.050 ],Novel: , [ 0.050 0.950, 0.333 0.667, 0.667 0.950,, 0.667 0.667 ] 
Stim Pair 4:Sample: , [ 0.950 0.950, 0.050 0.667, 0.950 0.050, 0.050 0.050 ],Novel: , [ 0.667 0.333, 0.950 0.667, 0.667 0.950,, 0.333 0.050 ] 
Stim Pair 5:Sample: , [ 0.333 0.950, 0.050 0.050, 0.333 0.667, 0.050 0.667 ],Novel: , [ 0.333 0.333, 0.667 0.950, 0.667 0.333,, 0.950 0.950 ] 
Stim Pair 6:Sample: , [ 0.950 0.050, 0.667 0.333, 0.333 0.333, 0.667 0.950 ],Novel: , [ 0.050 0.050, 0.050 0.667, 0.050 0.333,, 0.333 0.667 ] 

Stimuli for Condition 3:,,,,,,,,,,
Stim Pair 1:Sample: , [ 0.050 0.667, 0.333 0.050, 0.950 0.333, 0.667 0.050 ],Novel: , [ 0.950 0.667, 0.333 0.950, 0.050 0.050,, 0.950 0.050 ] 
Stim Pair 2:Sample: , [ 0.950 0.333, 0.050 0.950, 0.050 0.050, 0.667 0.667 ],Novel: , [ 0.333 0.950, 0.667 0.050, 0.950 0.050,, 0.050 0.667 ] 
Stim Pair 3:Sample: , [ 0.333 0.950, 0.050 0.050, 0.950 0.050, 0.050 0.333 ],Novel: , [ 0.667 0.050, 0.667 0.333, 0.950 0.333,, 0.333 0.050 ] 
Stim Pair 4:Sample: , [ 0.667 0.333, 0.950 0.667, 0.950 0.950, 0.050 0.667 ],Novel: , [ 0.050 0.050, 0.333 0.667, 0.333 0.333,, 0.950 0.050 ] 
Stim Pair 5:Sample: , [ 0.667 0.950, 0.950 0.333, 0.950 0.667, 0.667 0.333 ],Novel: , [ 0.050 0.667, 0.333 0.333, 0.333 0.050,, 0.667 0.050 ] 
Stim Pair 6:Sample: , [ 0.333 0.667, 0.050 0.950, 0.333 0.950, 0.050 0.050 ],Novel: , [ 0.950 0.050, 0.950 0.950, 0.950 0.333,, 0.050 0.667 ] 

Stimuli for Condition 4:,,,,,,,,,,
Stim Pair 1:Sample: , [ 0.333 0.050, 0.667 0.950, 0.950 0.667, 0.667 0.333 ],Novel: , [ 0.050 0.667, 0.050 0.950, 0.667 0.667,, 0.950 0.950 ] 
Stim Pair 2:Sample: , [ 0.667 0.050, 0.667 0.667, 0.950 0.050, 0.667 0.950 ],Novel: , [ 0.333 0.050, 0.950 0.950, 0.050 0.333,, 0.050 0.667 ] 
Stim Pair 3:Sample: , [ 0.050 0.333, 0.050 0.050, 0.333 0.050, 0.950 0.667 ],Novel: , [ 0.333 0.667, 0.333 0.950, 0.950 0.333,, 0.333 0.333 ] 
Stim Pair 4:Sample: , [ 0.950 0.667, 0.950 0.333, 0.667 0.667, 0.333 0.950 ],Novel: , [ 0.333 0.050, 0.050 0.667, 0.667 0.950,, 0.950 0.950 ] 
Stim Pair 5:Sample: , [ 0.950 0.667, 0.950 0.950, 0.667 0.333, 0.667 0.050 ],Novel: , [ 0.950 0.333, 0.050 0.950, 0.333 0.950,, 0.333 0.667 ] 
Stim Pair 6:Sample: , [ 0.950 0.950, 0.667 0.950, 0.333 0.050, 0.050 0.950 ],Novel: , [ 0.333 0.667, 0.333 0.950, 0.050 0.050,, 0.950 0.667 ] ,,

NUM_ROWS = 200, A: 0.200  B: 0.400,,,,,,,,,,,
PEAK_SIZE: 1, (9 winners if 1, 13 winners if 2),,,,,,,,,,
Total training conditions: 1 ,Steps: ,100,,,,,,,,,,
Total encoding conditions: 1 ,Steps: ,20,,,,,,,,,,
No interference.,,,,,,,,,,,,
Num input dims conditions: 3,,,,,,,,,,,,


 ,Stim Cond:  1,,,,,Average Over List 6 Stim Sets,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,Rat,Dscore Intact,Dscore Lesion,,Dscore PRh of Control,,Dscore Caud of Control 
 ,1,0.556151,,0.461772,,1,0.51692475,0.43002375,,0.644494,,0.467808
 ,2,0.549933,,0.454943,,2,0.51982675,0.42543925,,0.641822,,0.458044
 ,3,0.551748,,0.459552,,3,0.51983425,0.431104,,0.63772,,0.465776
 ,4,0.548808,,0.453214,,4,0.51512025,0.4322215,,0.635171,,0.462445
 ,5,0.540535,,0.451494,,5,0.515381,0.424624,,0.636177,,0.444893
 ,6,0.541009,,0.4407,,6,0.51748275,0.4218075,,0.629413,,0.452606
 ,Average,0.548031,,0.453613,,Average,0.517428292,0.427536667,,0.637466,,0.458596
 ,SEM,0.002753,,0.003317,,SEM,0.00092339,0.001860809,,0.002368,,0.003874
,,,,,,,,,,,,
,,,,,,,,,,,,
 ,Stim Cond:  2,,,,,,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,,,,,Dscore PRh of Control,,Dscore Caud of Control 
 ,1,0.541931,,0.520178,,,,,,0.557624,,0.526237
 ,2,0.543493,,0.516345,,,,,,0.558894,,0.528093
 ,3,0.542566,,0.526413,,,,,,0.567355,,0.517776
 ,4,0.544954,,0.51944,,,,,,0.577858,,0.512051
 ,5,0.539752,,0.518203,,,,,,0.55807,,0.521434
 ,6,0.533912,,0.512453,,,,,,0.54934,,0.518485
 ,Average,0.541101,,0.518839,,,,,,0.561524,,0.520679
 ,SEM,0.001754,,0.002068,,,,,,0.004397,,0.002639
,,,,,,,,,,,,
,,,,,,,,,,,,
 ,Stim Cond:  3,,,,,,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,,,,,Dscore PRh of Control,,Dscore Caud of Control 
 ,1,0.445054,,0.315164,,,,,,0.581224,,0.308883
 ,2,0.452298,,0.311883,,,,,,0.588444,,0.316151
 ,3,0.455954,,0.308234,,,,,,0.597468,,0.31444
 ,4,0.449926,,0.321445,,,,,,0.585358,,0.314494
 ,5,0.449569,,0.2981,,,,,,0.588721,,0.310416
 ,6,0.462833,,0.311842,,,,,,0.610255,,0.315411
 ,Average,0.452605,,0.311111,,,,,,0.591912,,0.313299
 ,SEM,0.002752,,0.003475,,,,,,0.004676,,0.001314
,,,,,,,,,,,,
,,,,,,,,,,,,
 ,Stim Cond:  4,,,,,,,,,,,
 ,Rat ,Dscore Intact,,Dscore Lesion,,,,,,Dscore PRh of Control,,Dscore Caud of Control 
 ,1,0.524563,,0.422981,,,,,,0.618704,,0.430422
 ,2,0.533583,,0.418586,,,,,,0.629302,,0.437863
 ,3,0.529069,,0.430217,,,,,,0.63095,,0.427189
 ,4,0.516793,,0.434787,,,,,,0.616308,,0.417278
 ,5,0.531668,,0.430699,,,,,,0.626298,,0.437038
 ,6,0.532177,,0.422235,,,,,,0.627735,,0.436619
 ,Average,0.527976,,0.426584,,,,,,0.624883,,0.431068
 ,SEM,0.002833,,0.002781,,,,,,0.00267,,0.003568
