rat,half,dPrime,controlLesion,ambiguity
1,1,3.04528889261681,1,1
2,1,3.87026235698071,1,1
3,1,2.63445373473614,1,1
4,1,2.30116559111263,1,1
5,1,2.82437515781233,1,1
6,1,2.22889251557583,1,1
7,1,2.81693603261618,1,1
8,1,2.84909511612904,1,1
9,1,3.33245463657794,1,1
10,1,3.87586302170566,1,1
11,1,3.34295811164069,1,1
12,1,2.53146335754252,1,1
13,1,3.35011908975899,1,1
14,1,1.35170223993066,1,1
15,1,3.35220190974959,1,1
16,1,2.82159810471423,1,1
17,1,3.06485520543157,1,1
18,1,2.31912380603236,1,1
19,1,2.83736641852006,1,1
20,1,3.33245463657794,1,1
21,1,3.35474375301895,1,1
22,1,3.35011908975899,1,1
23,1,2.01839328872979,1,1
24,1,2.82252559803909,1,1
25,1,3.06485520543157,1,1
26,1,3.87446980959561,1,1
27,1,1.61704914653464,1,1
28,1,3.87446980959561,1,1
29,1,2.53334350747665,1,1
30,1,2.84909511612904,1,1
31,1,3.06485520543157,1,1
32,1,3.05688989191539,1,1
33,1,3.87446980959561,1,1
34,1,2.31758341817412,1,1
35,1,2.82252559803909,1,1
36,1,3.04528889261681,1,1
37,1,2.83736641852006,1,1
38,1,3.87446980959561,1,1
39,1,1.84073993443723,1,1
40,1,2.51226595109804,1,1
1,1,0.544608844112323,1,2
2,1,1.4252734971142,1,2
3,1,1.67918170431112,1,2
4,1,0.737196528139296,1,2
5,1,1.16877951100381,1,2
6,1,0.647185431516125,1,2
7,1,0.701143975292538,1,2
8,1,1.83545588124055,1,2
9,1,0.83824307961207,1,2
10,1,0.993129114160457,1,2
11,1,1.27142044288065,1,2
12,1,0.387331731794554,1,2
13,1,1.72799421949087,1,2
14,1,0.509256104592348,1,2
15,1,0.863608176468874,1,2
16,1,0.961647194574017,1,2
17,1,1.38595250646751,1,2
18,1,1.61593240784523,1,2
19,1,0.939625717469214,1,2
20,1,1.57211255337343,1,2
21,1,2.68114856807681,1,2
22,1,1.27224987623856,1,2
23,1,0.0892720669331218,1,2
24,1,1.84077000570735,1,2
25,1,1.79886981533447,1,2
26,1,2.31758341817412,1,2
27,1,0.544608844112323,1,2
28,1,1.82483913057209,1,2
29,1,1.35170223993066,1,2
30,1,0.673718377276316,1,2
31,1,2.01198350055018,1,2
32,1,0.57119483705257,1,2
33,1,2.01198350055018,1,2
34,1,1.61704914653464,1,2
35,1,2.14334084767404,1,2
36,1,1.24949053875587,1,2
37,1,1.12322175204936,1,2
38,1,1.3061591595386,1,2
39,1,1.00427421139194,1,2
40,1,0.962250249279236,1,2
1,1,3.87446980959561,2,1
2,1,2.60965661427947,2,1
3,1,3.34295811164069,2,1
4,1,3.87446980959561,2,1
5,1,3.87446980959561,2,1
6,1,3.35011908975899,2,1
7,1,3.33245463657794,2,1
8,1,2.36826801522544,2,1
9,1,2.65442901103082,2,1
10,1,2.53114595996872,2,1
11,1,3.06485520543157,2,1
12,1,2.84909511612904,2,1
13,1,3.87446980959561,2,1
14,1,3.35403729599401,2,1
