rat,half,dPrime,controlLesion,ambiguity
1,1,3.87586302170566,1,1
2,1,3.87026235698071,1,1
3,1,3.87026235698071,1,1
4,1,3.35403729599401,1,1
5,1,3.87446980959561,1,1
6,1,2.84909511612904,1,1
1,1,1.35170223993066,1,2
2,1,1.65883743948536,1,2
3,1,1.16642903307219,1,2
4,1,2.255616317134,1,2
5,1,2.01198350055018,1,2
6,1,1.45435785036989,1,2
1,1,1.60907904126956,2,1
2,1,1.32028734915742,2,1
3,1,1.68308503411924,2,1
4,1,2.23791676212512,2,1
5,1,2.01839328872979,2,1
6,1,1.44307735018284,2,1
1,1,2.52699412129581,2,2
2,1,1.84073993443723,2,2
3,1,1.40396427204113,2,2
4,1,1.68661555892635,2,2
5,1,1.61593240784523,2,2
6,1,1.38595250646751,2,2
1,2,3.87586302170566,1,1
2,2,2.51436519064949,1,1
3,2,3.35474375301895,1,1
4,2,3.87446980959561,1,1
5,2,2.84909511612904,1,1
6,2,3.87446980959561,1,1
1,2,2.2860258810179,1,2
2,2,3.06485520543157,1,2
3,2,2.49285445355548,1,2
4,2,2.60965661427947,1,2
5,2,2.36826801522544,1,2
6,2,2.65442901103082,1,2
1,2,2.52485637901522,2,1
2,2,1.53908709824664,2,1
3,2,2.84909511612904,2,1
4,2,2.65442901103082,2,1
5,2,2.3116224865734,2,1
6,2,2.82159810471423,2,1
1,2,2.68114856807681,2,2
2,2,2.51226595109804,2,2
3,2,2.84909511612904,2,2
4,2,2.68114856807681,2,2
5,2,3.35011908975899,2,2
6,2,2.49285445355548,2,2
