rat,half,dPrime,controlLesion,ambiguity
1,1,3.35011908975899,1,1
2,1,2.84909511612904,1,1
3,1,2.86093303957454,1,1
4,1,3.87446980959561,1,1
5,1,3.06485520543157,1,1
6,1,3.87446980959561,1,1
7,1,3.04528889261681,1,1
1,1,1.52568263293392,1,2
2,1,2.12868507908416,1,2
3,1,2.38671053101498,1,2
4,1,2.38671053101498,1,2
5,1,2.30116559111263,1,2
6,1,1.54450043118234,1,2
7,1,1.96711052160882,1,2
1,1,3.87026235698071,2,1
2,1,3.87026235698071,2,1
3,1,3.87446980959561,2,1
4,1,3.87026235698071,2,1
5,1,3.87026235698071,2,1
6,1,3.87586302170566,2,1
7,1,3.87026235698071,2,1
1,1,2.01198350055018,2,2
2,1,2.38671053101498,2,2
3,1,1.82483913057209,2,2
4,1,3.34295811164069,2,2
5,1,3.07014591764385,2,2
6,1,2.53334350747665,2,2
7,1,3.06485520543157,2,2
1,2,3.35011908975899,1,1
2,2,3.87446980959561,1,1
3,2,3.86315543652763,1,1
4,2,3.87446980959561,1,1
5,2,3.87446980959561,1,1
6,2,3.87446980959561,1,1
7,2,3.06485520543157,1,1
1,2,1.54450043118234,1,2
2,2,2.49285445355548,1,2
3,2,2.60965661427947,1,2
4,2,2.43860432765977,1,2
5,2,2.66992085141603,1,2
6,2,1.96711052160882,1,2
7,2,1.81891183077753,1,2
1,2,3.87026235698071,2,1
2,2,3.87026235698071,2,1
3,2,3.87446980959561,2,1
4,2,3.87026235698071,2,1
5,2,3.87026235698071,2,1
6,2,3.87586302170566,2,1
7,2,3.87026235698071,2,1
1,2,1.84073993443723,2,2
2,2,3.02988379461125,2,2
3,2,2.01198350055018,2,2
4,2,2.13840915346111,2,2
5,2,2.53722161761773,2,2
6,2,2.66992085141603,2,2
7,2,0.399546820520717,2,2
