rat,half,dPrime,controlLesion,ambiguity
1,1,6.81718423408388,1,1
2,1,5.92280565596815,1,1
3,1,6.81718423408388,1,1
4,1,5.92746732848795,1,1
5,1,6.28237585029852,1,1
6,1,6.28237585029852,1,1
7,1,5.38369787176367,1,1
8,1,6.2774903077699,1,1
9,1,6.28237585029852,1,1
10,1,5.92819083190155,1,1
11,1,6.26698773829162,1,1
12,1,5.92819083190155,1,1
13,1,6.81718423408388,1,1
14,1,5.88756390131808,1,1
15,1,5.41854398888047,1,1
16,1,4.17024850096731,1,1
17,1,5.6508102374769,1,1
18,1,5.92819083190155,1,1
19,1,5.64525325189384,1,1
20,1,6.81048807043854,1,1
21,1,5.40265009924688,1,1
22,1,5.41578686355815,1,1
23,1,5.88756390131808,1,1
24,1,5.64525325189384,1,1
25,1,6.28237585029852,1,1
26,1,6.27536678094999,1,1
27,1,5.90740854209184,1,1
28,1,6.2774903077699,1,1
29,1,5.92819083190155,1,1
30,1,6.81718423408388,1,1
31,1,5.92746732848795,1,1
32,1,6.2774903077699,1,1
33,1,6.81048807043854,1,1
34,1,5.88756390131808,1,1
35,1,5.92746732848795,1,1
36,1,6.27536678094999,1,1
37,1,6.28237585029852,1,1
38,1,5.90740854209184,1,1
39,1,5.92059910153936,1,1
40,1,5.92746732848795,1,1
41,1,6.81048807043854,1,1
42,1,6.81048807043854,1,1
43,1,5.64525325189384,1,1
44,1,6.27536678094999,1,1
45,1,5.92746732848795,1,1
46,1,5.90740854209184,1,1
47,1,6.2774903077699,1,1
48,1,6.2816921860659,1,1
1,1,5.61254007817427,1,2
2,1,2.19030695039003,1,2
3,1,2.76168410894715,1,2
4,1,5.21088112568557,1,2
5,1,3.62632839137055,1,2
6,1,4.49423137132915,1,2
7,1,5.64525325189384,1,2
8,1,5.41854398888047,1,2
9,1,5.41418481397552,1,2
10,1,3.05265104330438,1,2
11,1,3.84529256873751,1,2
12,1,5.00440101579237,1,2
13,1,4.5987533404776,1,2
14,1,4.66441676897765,1,2
15,1,5.65134035516328,1,2
16,1,5.38369787176367,1,2
17,1,5.92059910153936,1,2
18,1,5.64525325189384,1,2
19,1,4.98092091281259,1,2
20,1,5.40265009924688,1,2
21,1,5.41854398888047,1,2
22,1,5.38369787176367,1,2
23,1,5.38369787176367,1,2
24,1,4.85350434737903,1,2
25,1,5.92059910153936,1,2
26,1,5.38369787176367,1,2
27,1,5.38369787176367,1,2
28,1,4.98092091281259,1,2
29,1,5.40265009924688,1,2
30,1,3.16115344521908,1,2
31,1,5.12439806820535,1,2
32,1,5.20141986521254,1,2
33,1,5.35688548022373,1,2
34,1,5.00440101579237,1,2
35,1,4.94832541818951,1,2
36,1,5.61254007817427,1,2
37,1,3.86893928824804,1,2
38,1,5.35688548022373,1,2
39,1,4.66441676897765,1,2
40,1,5.40265009924688,1,2
41,1,5.41418481397552,1,2
42,1,4.85036802722463,1,2
43,1,5.35688548022373,1,2
44,1,4.98092091281259,1,2
45,1,5.63241892904732,1,2
46,1,5.64525325189384,1,2
47,1,3.40631516992433,1,2
48,1,5.18414715450792,1,2
1,1,5.02960467137742,2,1
2,1,5.02165594555504,2,1
3,1,6.81718423408388,2,1
4,1,6.81898073997612,2,1
5,1,4.50606834848479,2,1
6,1,3.18345642725234,2,1
7,1,6.78215781338796,2,1
8,1,6.81048807043854,2,1
9,1,5.92819083190155,2,1
10,1,5.03006489336212,2,1
11,1,6.81898073997612,2,1
12,1,4.08161682541933,2,1
13,1,4.5873061905725,2,1
14,1,4.59119742158269,2,1
15,1,4.51443330754453,2,1
16,1,6.81718423408388,2,1
17,1,6.81048807043854,2,1
18,1,6.81898073997612,2,1
19,1,6.81048807043854,2,1
20,1,6.81718423408388,2,1
21,1,6.76014670782103,2,1
22,1,6.81048807043854,2,1
23,1,5.02960467137742,2,1
24,1,5.03006489336212,2,1
25,1,6.81718423408388,2,1
26,1,6.81898073997612,2,1
27,1,4.59119742158269,2,1
28,1,6.26698773829162,2,1
29,1,6.79885748705896,2,1
30,1,6.81048807043854,2,1
31,1,5.02165594555504,2,1
32,1,6.79885748705896,2,1
33,1,6.81048807043854,2,1
34,1,6.81718423408388,2,1
35,1,6.78215781338796,2,1
36,1,5.03418153913991,2,1
37,1,5.03418153913991,2,1
38,1,6.81048807043854,2,1
39,1,6.28237585029852,2,1
40,1,6.81048807043854,2,1
41,1,5.03418153913991,2,1
42,1,4.57843765871398,2,1
43,1,4.59152869738888,2,1
44,1,6.81581378160427,2,1
45,1,6.81898073997612,2,1
46,1,3.74037808447696,2,1
47,1,4.05568716211948,2,1
48,1,5.03006489336212,2,1
1,1,6.78215781338796,2,2
2,1,4.30320938940911,2,2
3,1,6.81048807043854,2,2
4,1,6.2774903077699,2,2
5,1,6.81718423408388,2,2
6,1,6.81048807043854,2,2
7,1,6.81898073997612,2,2
8,1,4.58631067989535,2,2
9,1,6.81718423408388,2,2
10,1,6.28237585029852,2,2
11,1,6.79885748705896,2,2
12,1,6.2816921860659,2,2
13,1,3.15748869974155,2,2
14,1,6.78215781338796,2,2
15,1,6.81048807043854,2,2
16,1,6.81048807043854,2,2
17,1,6.81048807043854,2,2
18,1,6.81048807043854,2,2
19,1,5.92819083190155,2,2
20,1,4.15115763633704,2,2
21,1,6.81048807043854,2,2
22,1,3.36593562911842,2,2
23,1,5.90740854209184,2,2
24,1,4.30125805579426,2,2
25,1,5.92059910153936,2,2
26,1,5.03006489336212,2,2
27,1,6.2774903077699,2,2
28,1,6.28237585029852,2,2
29,1,6.28237585029852,2,2
30,1,6.2774903077699,2,2
31,1,6.2774903077699,2,2
32,1,6.28237585029852,2,2
33,1,5.92746732848795,2,2
34,1,6.79885748705896,2,2
35,1,6.28237585029852,2,2
36,1,6.2774903077699,2,2
37,1,4.47804118126414,2,2
38,1,4.51443330754453,2,2
39,1,6.81048807043854,2,2
40,1,5.40265009924688,2,2
41,1,6.79885748705896,2,2
42,1,4.3003613172914,2,2
43,1,6.28237585029852,2,2
44,1,6.2816921860659,2,2
45,1,6.26698773829162,2,2
46,1,5.63241892904732,2,2
47,1,6.81048807043854,2,2
48,1,6.81048807043854,2,2
1,2,4.51579856913421,1,1
2,2,5.81465848139306,1,1
3,2,5.24780646670554,1,1
4,2,4.15115763633704,1,1
5,2,5.92746732848795,1,1
6,2,5.92746732848795,1,1
7,2,5.69788125017583,1,1
8,2,6.23501589118192,1,1
9,2,6.28237585029852,1,1
10,2,6.23501589118192,1,1
11,2,6.72371554749996,1,1
12,2,3.40444438808886,1,1
13,2,5.46063140913966,1,1
14,2,5.55769891824587,1,1
15,2,6.18197272379304,1,1
16,2,6.72371554749996,1,1
17,2,6.72371554749996,1,1
18,2,5.33759148697689,1,1
19,2,5.40265009924688,1,1
20,2,6.81048807043854,1,1
21,2,6.28237585029852,1,1
22,2,5.74800690187458,1,1
23,2,6.05390294045456,1,1
24,2,5.64525325189384,1,1
25,2,3.18345642725234,1,1
26,2,3.4633336306667,1,1
27,2,6.01693351278835,1,1
28,2,6.23501589118192,1,1
29,2,6.23501589118192,1,1
30,2,6.32450621829309,1,1
31,2,5.92746732848795,1,1
32,2,5.58621986800106,1,1
33,2,5.92746732848795,1,1
34,2,5.55769891824587,1,1
35,2,5.92746732848795,1,1
36,2,5.51215865868346,1,1
37,2,5.92746732848795,1,1
38,2,6.01693351278835,1,1
39,2,5.69788125017583,1,1
40,2,5.92746732848795,1,1
41,2,5.92746732848795,1,1
42,2,6.28237585029852,1,1
43,2,6.28237585029852,1,1
44,2,5.51215865868346,1,1
45,2,6.81048807043854,1,1
46,2,5.74461624629551,1,1
47,2,5.33759148697689,1,1
48,2,5.97489126280868,1,1
1,2,3.67113337072882,1,2
2,2,5.64525325189384,1,2
3,2,5.24780646670554,1,2
4,2,2.98206665194808,1,2
5,2,3.20456274725921,1,2
6,2,3.80984592218486,1,2
7,2,4.98092091281259,1,2
8,2,5.81465848139306,1,2
9,2,3.11624983136542,1,2
10,2,3.15868728946096,1,2
11,2,3.24199027976246,1,2
12,2,3.15570981706807,1,2
13,2,1.42995230564947,1,2
14,2,3.09101359201566,1,2
15,2,2.64144927795012,1,2
16,2,5.05074855039976,1,2
17,2,1.86393801640388,1,2
18,2,3.62632839137055,1,2
19,2,3.62632839137055,1,2
20,2,5.64525325189384,1,2
21,2,3.80984592218486,1,2
22,2,5.46063140913966,1,2
23,2,2.07105162244684,1,2
24,2,2.77762913801612,1,2
25,2,5.24780646670554,1,2
26,2,2.42522919778984,1,2
27,2,5.46063140913966,1,2
28,2,2.76128783026529,1,2
29,2,4.98092091281259,1,2
30,2,2.79382116876736,1,2
31,2,3.09070917011145,1,2
32,2,3.40444438808886,1,2
33,2,5.11273464613241,1,2
34,2,2.43000945768562,1,2
35,2,4.86387661457062,1,2
36,2,4.5875391282057,1,2
37,2,6.28237585029852,1,2
38,2,3.2716730597806,1,2
39,2,5.52011098624987,1,2
40,2,2.76128783026529,1,2
41,2,3.15868728946096,1,2
42,2,3.76993723326741,1,2
43,2,3.2716730597806,1,2
44,2,3.18345642725234,1,2
45,2,5.69788125017583,1,2
46,2,2.67213044684739,1,2
47,2,2.69464280383827,1,2
48,2,2.76128783026529,1,2
1,2,6.72371554749996,2,1
2,2,6.87874992223954,2,1
3,2,6.84678419277556,2,1
4,2,6.36175010570776,2,1
5,2,6.81048807043854,2,1
6,2,5.92746732848795,2,1
7,2,6.72371554749996,2,1
8,2,6.28237585029852,2,1
9,2,4.05333993078837,2,1
10,2,6.84678419277556,2,1
11,2,6.87874992223954,2,1
12,2,6.87874992223954,2,1
13,2,5.58621986800106,2,1
14,2,5.97489126280868,2,1
15,2,5.81465848139306,2,1
16,2,6.84678419277556,2,1
17,2,5.64525325189384,2,1
18,2,5.51215865868346,2,1
19,2,6.28237585029852,2,1
20,2,5.69788125017583,2,1
21,2,6.12265992999121,2,1
22,2,5.92746732848795,2,1
23,2,6.72371554749996,2,1
24,2,5.97489126280868,2,1
25,2,5.97489126280868,2,1
26,2,6.36175010570776,2,1
27,2,5.46063140913966,2,1
28,2,6.72371554749996,2,1
29,2,5.87424066603185,2,1
30,2,4.50606834848479,2,1
31,2,6.01693351278835,2,1
32,2,4.49144441968125,2,1
33,2,3.42616790510524,2,1
34,2,6.32450621829309,2,1
35,2,6.18197272379304,2,1
36,2,6.28237585029852,2,1
37,2,5.92746732848795,2,1
38,2,4.50606834848479,2,1
39,2,5.40265009924688,2,1
40,2,5.92746732848795,2,1
41,2,6.81048807043854,2,1
42,2,4.10439759340149,2,1
43,2,6.28237585029852,2,1
44,2,6.39435485353175,2,1
45,2,5.74461624629551,2,1
46,2,6.39435485353175,2,1
47,2,5.46063140913966,2,1
48,2,6.84678419277556,2,1
1,2,5.26464082928881,2,2
2,2,5.69788125017583,2,2
3,2,4.98092091281259,2,2
4,2,6.23501589118192,2,2
5,2,6.84678419277556,2,2
6,2,5.64525325189384,2,2
7,2,6.01693351278835,2,2
8,2,6.87874992223954,2,2
9,2,5.69788125017583,2,2
10,2,5.18414715450792,2,2
11,2,5.87424066603185,2,2
12,2,6.32450621829309,2,2
13,2,5.69788125017583,2,2
14,2,6.72371554749996,2,2
15,2,5.64525325189384,2,2
16,2,6.28237585029852,2,2
17,2,5.64525325189384,2,2
18,2,5.64525325189384,2,2
19,2,5.87424066603185,2,2
20,2,6.28237585029852,2,2
21,2,6.28237585029852,2,2
22,2,5.35441947810259,2,2
23,2,5.30437280231375,2,2
24,2,5.74461624629551,2,2
25,2,6.84678419277556,2,2
26,2,5.97489126280868,2,2
27,2,5.87424066603185,2,2
28,2,6.81048807043854,2,2
29,2,5.92746732848795,2,2
30,2,6.23501589118192,2,2
31,2,5.87424066603185,2,2
32,2,5.92746732848795,2,2
33,2,5.64525325189384,2,2
34,2,5.87424066603185,2,2
35,2,5.92746732848795,2,2
36,2,5.58621986800106,2,2
37,2,6.01693351278835,2,2
38,2,5.52011098624987,2,2
39,2,5.92746732848795,2,2
40,2,6.28237585029852,2,2
41,2,6.76958690687946,2,2
42,2,6.81048807043854,2,2
43,2,6.81048807043854,2,2
44,2,5.97489126280868,2,2
45,2,5.81465848139306,2,2
46,2,5.46063140913966,2,2
47,2,6.28237585029852,2,2
48,2,6.28237585029852,2,2
